speaks/VBZ	(speaks,1) (root,1) (VBZ,1) 
bathed/VBN	(NN,2) (VBN,1) (nmod:of,1) (parataxis,1) (acl,1) (VB,1) (becomes,1) (VBZ,1) (see,1) (root,1) (earth,1) (bathed,1) (inch,1) (dobj,1) 
time/NN	(NN,1) (root,1) (time,1) ('s,1) (nsubj,1) (VBZ,1) 
since/IN	(NN,1) (acl:relcl,1) (1940s,1) (refused,1) (IN,1) (VB,1) (xcomp,1) (kook,1) (NNS,1) (leave,1) (nmod:since,1) (root,1) (VBD,1) (case,1) (since,1) 
night/NN	(acl:relcl,1) (NN,1) (NNS,1) (VBP,1) (root,1) (night,1) (ones,1) (dry,1) (VB,1) (nsubj,1) (ride,1) (nmod:through,1) 
calls/NNS	(NN,1) (NNS,1) (calls,1) (nmod:of,1) (root,1) (bustle,1) 
grew/VBD	(root,1) (VBD,1) (grew,1) 
believe/VBP	(ccomp,1) (VBP,1) (root,1) (believe,1) (says,1) (VBZ,1) 
limit/NN	(NN,2) (JJ,1) (sapping,1) (nmod:of,1) (planet,1) (capable,1) (amod,1) (most,1) (JJS,1) (root,1) (limit,1) (VBG,1) (advcl,1) (dobj,1) 
slipping/VBG	(acl:relcl,1) (slipping,1) (NNS,1) (ccomp,1) (VBP,1) (root,1) (ones,1) (dry,1) (VBG,1) (VB,1) (nsubj,1) (ride,1) 
now/RB	(RB,1) (advmod,1) (VBP,1) (root,1) (now,1) (do,1) 
refused/VBD	(NN,1) (acl:relcl,1) (kook,1) (refused,1) (root,1) (VBD,1) 
hopefully/RB	(RB,1) (help,1) (advmod,1) (ccomp,1) (does,1) (root,1) (hopefully,1) (VB,1) (VBZ,1) 
destroyed/VBN	(destroyed,1) (VBN,1) (root,1) (VBD,1) (conj:and,1) (grew,1) 
it/PRP	(NN,1) (curiosity,1) (root,1) (it,1) (nsubj,1) (PRP,1) 
cut/VB	(had?I,1) (VBN,1) (cut,1) (ccomp,1) (root,1) (VB,1) 
trusted/VBN	(VBN,1) (trusted,1) (root,1) 
ask/VB	(ccomp,1) (going,1) (root,1) (ask,1) (VBD,1) (VBG,1) (VB,1) (understood,1) (xcomp,1) 
makes/VBZ	(ccomp,1) (Fool,1) (root,1) (makes,1) (VB,1) (VBZ,1) 
sapient/JJ	(NN,1) (JJ,1) (amount,1) (VBN,2) (nmod:of,1) (sought,1) (control,1) (sapient,1) (VB,1) (amod,1) (xcomp,1) (NNS,1) (left,1) (root,1) (advcl,1) (dobj,1) (forms,1) 
of/IN	(NN,1) (IN,1) (root,1) (of,1) (case,1) (story,1) 
million/CD	(CD,1) (NNS,1) (VBN,1) (million,1) (built,1) (root,1) (acl,1) (thousands,1) (nmod:on,1) 
'm/VBP	(JJ,1) (ccomp,1) (VBP,2) (cop,1) ('m,1) (root,1) (say,1) (easy,1) 
In/IN	(NN,1) (nmod:in,1) (In,1) (IN,1) (root,1) (VBD,1) (war,1) (understood,1) (case,1) 
without/IN	(IN,1) (considering,1) (speaks,1) (root,1) (VBG,1) (advcl,1) (without,1) (mark,1) (VBZ,1) 
plotted/VBD	(ccomp,1) (plotted,1) (root,1) (VBD,2) (killed,1) 
saving/VBG	(NN,1) (saving,1) (nmod:in,1) (root,1) (VBD,1) (war,1) (VBG,1) (acl,1) (understood,1) 
them/PRP	(VBP,1) (root,1) (them,1) (dobj,1) (send,1) (PRP,1) 
dust/NN	(NN,1) (clotting,1) (VBP,1) (root,1) (say,1) (VBG,1) (nsubj,1) (dust,1) (dep,1) 
think/VBP	(think,1) (VBP,1) (root,1) 
blade/JJ	(NN,2) (JJ,1) (nmod:at,1) (limp,1) (csubj,1) (root,1) (looking,1) (VBG,1) (amod,1) (hand,1) (blade,1) 
He/PRP	(NN,1) (kook,1) (root,1) (nsubj,1) (He,1) (PRP,1) 
on/RP	(ccomp,1) (compound:prt,1) (going,1) (root,1) (VBD,1) (VBG,1) (understood,1) (RP,1) (on,1) 
Humans/NNS	(NNS,1) (seemed,1) (Humans,1) (root,1) (VBD,1) (nsubj,1) 
confounded/VBD	(acl:relcl,1) (NNS,2) (confounded,1) (root,1) (differences,1) (VBD,1) (thousands,1) (dep,1) 
groans/VBZ	(accented,1) (root,1) (VBD,1) (conj:and,1) (groans,1) (VBZ,1) 
twirling/VBG	(twirling,1) (VBP,1) (root,1) (say,1) (VBG,1) (xcomp,1) 
she/PRP	(she,1) (had?I,1) (VBN,1) (cut,1) (ccomp,1) (work,1) (root,1) (advcl,1) (VB,2) (nsubj,1) (PRP,1) 
*/RB	(RB,1) (advmod,2) (VBP,1) (WRB,1) (root,1) (*,1) (am,1) (Where,1) 
school/NN	(zero,1) (NN,2) (VBP,1) (school,1) (root,1) (one,1) (compound,1) (dep,1) 
's/POS	(tells,1) (NN,1) (POS,1) (root,1) (father,1) (nsubj,1) ('s,1) (case,1) (VBZ,1) 
hand/NN	(NN,1) (root,1) (hand,1) 
sought/VBN	(VBN,2) (left,1) (root,1) (sought,1) (advcl,1) 
though/IN	(NN,1) (though,1) (IN,1) (moans,1) (root,1) (advcl,1) (mark,1) (VBZ,1) (morphine,1) 
doors/NNS	(NN,1) (doors,1) (NNS,1) (nmod:of,1) (root,1) (bustle,1) 
incoming/JJ	(JJ,1) (incoming,1) (root,1) 
sniper/NN	(JJ,1) (NN,2) (caught,1) (VBN,1) (nmod:in,1) (sniper,1) (root,1) (enough,1) (alley,1) (compound,1) (xcomp,1) 
me/PRP	(nmod:at,1) (smiles,1) (root,1) (me,1) (VBZ,1) (PRP,1) 
hopeless/JJ	(NN,1) (JJ,1) (root,1) (hopeless,1) (amod,1) (thing,1) 
The/DT	(NN,1) (The,1) (DT,1) (det,1) (root,1) (blood,1) 
softer/JJR	(advmod,1) (JJR,1) (moans,1) (root,1) (softer,1) (VBZ,1) 
Frozen/VBN	(wait,1) (VBN,1) (VBP,1) (root,1) (advcl,1) (Frozen,1) 
Nearly/RB	(NN,1) (RB,1) (advmod,1) (ships,1) (NNS,1) (Nearly,1) (VBN,1) (nummod,1) (root,1) (nsubj,1) (dozen,1) (shocked,1) 
Shall/NNP	(NNP,1) (root,1) (Shall,1) 
who/WP	(NN,1) (kook,1) (ref,1) (root,1) (WP,1) (who,1) 
translator/NN	(NN,1) (ccomp,2) (VBP,1) (made,1) (root,1) (translator,1) (VBD,1) (believe,1) (nsubj,1) (says,1) (VBZ,1) 
council/NN	(NN,1) (NNS,1) (races,1) (council,1) (root,1) (do,1) (VB,1) (nsubj,1) (compound,1) 
probably/RB	(RB,1) (advmod,1) (probably,1) (root,1) (VBD,1) (killed,1) 
inside/RB	(remember,1) (RB,1) (advmod,1) (ccomp,1) (root,1) (keep,1) (Do,1) (VB,3) (inside,1) (dep,1) 
destroying/VBG	(expected,1) (root,1) (VBD,1) (VBG,1) (VB,1) (begin,1) (xcomp,2) (destroying,1) 
conflict/NN	(NN,1) (nmod:in,1) (root,1) (VBD,1) (understood,1) (conflict,1) 
exchange/NN	(JJ,1) (NN,2) (take,1) (reason,1) (ccomp,1) (VBP,1) (root,1) (exchange,1) (technological,1) (nsubj,1) (nmod:for,1) 
can/MD	(can,1) (aux,1) (root,1) (MD,1) (VB,1) (make,1) 
outgoing/JJ	(JJ,2) (incoming,1) (outgoing,1) (root,1) (amod,1) 
shelter/NN	(DT,1) (NN,1) (shelter,1) (root,1) (nmod:to,1) (Those,1) 
prayed/VBD	(ccomp,1) (root,1) (VBD,2) (prayed,1) (killed,1) 
killed/VBD	(root,1) (VBD,1) (killed,1) 
send/VBP	(VBP,1) (root,1) (send,1) 
An/DT	(NN,1) (DT,1) (det,1) (root,1) (thing,1) (An,1) 
giving/VBG	(IN,1) (root,1) (VBG,1) (So,1) (giving,1) (dep,1) 
helped/VBD	(ccomp,1) (root,1) (VBD,2) (helped,1) (killed,1) 
timidly/JJ	(timidly,1) (JJ,1) (wafts,1) (NNS,1) (accented,1) (root,1) (VBD,1) (dobj,1) (amod,1) 
or/CC	(CC,1) (cc,1) (wait,1) (VBN,1) (or,1) (VBP,1) (root,1) (advcl,1) (Frozen,1) 
better/JJR	(better,1) (JJR,1) (change,1) (root,1) (VB,1) (nmod:for,1) 
unlikely/JJ	(NN,1) (JJ,1) (unlikely,1) (found,1) (VBN,1) (nmod:in,1) (root,1) (acl,1) ('s,1) (nsubj,1) (profit,1) (VBZ,1) 
men/NNS	(NNS,1) (accented,1) (dying,1) (root,1) (men,1) (VBD,1) (VBG,1) (advcl,1) (conj:and,1) (dobj,1) (groans,1) (VBZ,1) 
there/EX	(expl,1) (EX,1) (root,1) (there,1) ('s,1) (VBZ,1) 
inch/NN	(NN,1) (see,1) (root,1) (parataxis,1) (inch,1) (VB,1) (dobj,1) (becomes,1) (VBZ,1) 
possibly/RB	(RB,1) (advmod,1) (save?Keep,1) (root,1) (VBD,1) (advcl,1) (VB,1) (killed,1) (possibly,1) 
different/JJ	(NN,1) (JJ,1) (root,1) (different,1) (amod,1) (story,1) 
attempts/NNS	(had?I,1) (NNS,1) (VBN,1) (cut,1) (ccomp,1) (work,1) (root,1) (advcl,1) (VB,2) (nmod:on,1) (attempts,1) 
this/DT	(DT,1) (help,1) (ccomp,1) (does,1) (root,1) (this,1) (VB,1) (nsubj,1) (VBZ,1) 
little/JJ	(NN,1) (JJ,1) (pile,1) (root,1) (amod,1) (little,1) 
always/RB	(always,1) (RB,1) (advmod,1) (root,1) ('s,1) (VBZ,1) 
normalcy?A/JJ	(NN,3) (JJ,1) (normalcy?A,1) (nmod:of,2) (kind,1) (root,1) (sense,1) (amod,1) (key,1) 
So/RB	(JJ,1) (RB,1) (that,1) (advmod,1) (WDT,1) (interesting,1) (root,1) (nsubj,1) (So,1) 
There/EX	(expl,1) (EX,1) (There,1) (root,1) ('s,1) (VBZ,1) 
long/RB	(RB,1) (root,1) (advcl,1) (do,1) (conj:and,1) (VB,2) (fight,1) (long,1) 
be/VB	(VBN,1) (be,1) (trusted,1) (root,1) (auxpass,1) (VB,1) 
unlucky/RB	(JJ,1) (RB,1) (advmod,1) (root,1) (unlucky,1) (enough,1) 
knife/NN	(NN,1) (knife,1) (VBP,1) (root,1) (advcl,1) (dobj,1) (becomes,1) (VBZ,1) (hold,1) 
wounds/NNS	(NN,1) (nmod:at,1) (NNS,1) (wounds,1) (csubj,1) (root,1) (looking,1) (VBG,1) (hand,1) 
pray/RB	(RB,1) (advmod,1) (ccomp,1) (root,1) (was,1) (VBD,1) (do,1) (VB,1) (pray,1) 
their/PRP$	(NNS,1) (servants,1) (PRP$,1) (nmod:poss,1) (expected,1) (root,1) (VBD,1) (their,1) (dobj,1) 
house/NN	(NN,2) (acl:relcl,1) (kook,1) (refused,1) (leave,1) (root,1) (VBD,1) (VB,1) (dobj,1) (house,1) (xcomp,1) 
Fool/VB	(Fool,1) (root,1) (VB,1) 
road/NN	(NN,1) (crayon,1) (VBP,1) (road,1) (root,1) (nmod:on,1) 
thing/NN	(NN,1) (root,1) (thing,1) 
food/NN	(DT,1) (NN,1) (root,1) (nmod:to,1) (Those,1) (food,1) 
bleeding/NN	(NN,1) (help,1) (ccomp,1) (bleeding,1) (stop,1) (does,1) (root,1) (VB,2) (dobj,1) (xcomp,1) (VBZ,1) 
moans/VBZ	(moans,1) (root,1) (VBZ,1) 
expected/VBD	(expected,1) (root,1) (VBD,1) 
able/JJ	(JJ,1) (able,1) (root,1) 
r/storiesfromapotato/NN	(##########,1) (NN,1) (VBP,1) (nmod:npmod,1) (WRB,1) (*,1) (am,1) (compound,1) (RB,1) (advmod,2) (r,1) (storiesfromapotato,1) (root,1) (Where,1) 
vision/NN	(NN,1) (vision,1) (root,1) (VBD,1) (jerks,1) (conj:and,1) (nsubj,1) (becomes,1) (VBZ,1) 
suppose/VBP	(ccomp,1) (VBP,2) (root,1) (say,1) (suppose,1) 
security/NN	(zero,1) (NN,2) (security,1) (VBP,1) (root,1) (one,1) (compound,1) (dep,1) 
alive/JJ	(JJ,1) (save?Keep,1) (alive,1) (root,1) (VBD,1) (advcl,1) (VB,1) (killed,1) (xcomp,1) 
flame/NN	(NN,3) (VBN,1) (nmod:of,1) (parataxis,1) (acl,1) (VB,1) (becomes,1) (VBZ,1) (see,1) (nmod:in,1) (root,1) (earth,1) (bathed,1) (inch,1) (dobj,1) (flame,1) 
in/RP	(NN,1) (kicking,1) (compound:prt,1) (in,1) (moans,1) (root,1) (advcl,1) (VBG,1) (acl,1) (RP,1) (VBZ,1) (morphine,1) 
arbitrary/JJ	(JJ,1) (NNS,2) (root,1) (differences,1) (arbitrary,1) (thousands,1) (amod,1) (dep,1) 
ugly/JJ	(NN,1) (JJ,1) (root,1) (ugly,1) (amod,1) (thing,1) 
pen/NN	(NN,1) (twirling,1) (VBP,1) (root,1) (pen,1) (say,1) (VBG,1) (dobj,1) (xcomp,1) 
despite/IN	(NN,2) (acl:relcl,1) (JJ,1) (steel,1) (glinted,1) (overcast,1) (nmod:of,1) (IN,1) (pile,1) (despite,1) (root,1) (VBD,1) (advcl,1) (mark,1) 
say/VB	(VBN,1) (left,1) (aux,1) (root,1) (have,1) (say,1) (VB,2) (xcomp,1) 
Though/IN	(IN,1) (root,1) (beat,1) (dry,1) (advcl,1) (VB,2) (mark,1) (Though,1) 
raged/VBD	(raged,1) (ccomp,1) (root,1) (VBD,2) (killed,1) 
And/CC	(CC,1) (cc,1) (And,1) (root,1) ('s,1) (VBZ,1) 
if/IN	(VBN,2) (left,1) (IN,1) (root,1) (sought,1) (advcl,1) (if,1) (mark,1) 
stamina/NN	(decided,1) (NN,1) (ccomp,1) (root,1) (stamina,1) (VBD,2) (advcl,1) (let,1) (VB,1) (nsubj,1) (grew,1) 
Those/DT	(DT,1) (root,1) (Those,1) 
shocked/VBN	(VBN,1) (root,1) (shocked,1) 
that/DT	(call,1) (DT,1) (that,1) (root,1) (VB,1) (dep,1) 
those/DT	(DT,1) (NNS,1) (det,1) (VBP,1) (get,1) (root,1) (dobj,1) (flashes,1) (those,1) 
over/IN	(NN,1) (over,1) (accented,1) (IN,1) (root,1) (moans,1) (VBD,1) (case,1) (nmod:over,1) 
even/RB	(call,1) (RB,1) (advmod,1) (even,1) (root,1) (VB,1) 
locked/JJ	(NN,1) (doors,1) (JJ,1) (NNS,1) (nmod:of,1) (root,1) (bustle,1) (locked,1) (amod,1) 
encompassing/VBG	(torn,1) (encompassing,1) (VBN,1) (root,1) (VBG,1) (xcomp,1) 
Promising/NN	(NN,1) (torn,1) (Promising,1) (VBN,1) (root,1) (nsubj,1) 
Where/WRB	(advmod,1) (VBP,1) (WRB,1) (root,1) (am,1) (Where,1) 
only/RB	(RB,1) (advmod,1) (VBN,2) (rendered,1) (root,1) (only,1) (shocked,1) (xcomp,1) 
slaughtered/VBN	(VBN,1) (root,1) (VBD,1) (slaughtered,1) (conj:and,1) (grew,1) 
speak/VB	(VBP,1) (root,1) (speak,1) (advcl,1) (VB,1) (send,1) 
officer/NN	(zero,1) (NN,2) (VBP,1) (officer,1) (root,1) (one,1) (compound,1) (dep,1) 
sparkled/VBD	(NN,2) (acl:relcl,1) (steel,1) (sparkled,1) (nmod:of,1) (pile,1) (root,1) (VBD,1) 
fight/VB	(root,1) (do,1) (conj:and,1) (VB,2) (fight,1) 
war/NN	(NN,1) (nmod:in,1) (root,1) (VBD,1) (war,1) (understood,1) 
killer/NN	(zero,1) (NN,1) (VBP,1) (root,1) (killer,1) (nsubj,1) 
all/PDT	(NN,1) (all,1) (PDT,1) (det:predet,1) (root,1) (VBD,1) (nsubj,1) (killed,1) (nonsense,1) 
my/PRP$	(NN,1) (PRP$,1) (nmod:poss,1) (root,1) (my,1) (hand,1) 
nuclear/JJ	(JJ,1) (torn,1) (VBN,1) (nmod:by,1) (root,1) (nuclear,1) 
hurried/JJ	(NN,1) (JJ,1) (hurried,1) (NNS,1) (calls,1) (nmod:of,1) (root,1) (bustle,1) (amod,1) 
lose/VB	(ccomp,1) (root,1) (lose,1) (VB,2) (make,1) 
serial/JJ	(zero,1) (NN,1) (JJ,1) (VBP,1) (serial,1) (root,1) (killer,1) (nsubj,1) (amod,1) 
looking/VBG	(NN,1) (csubj,1) (root,1) (looking,1) (VBG,1) (hand,1) 
Sometimes/RB	(RB,1) (advmod,1) (VBP,1) (Sometimes,1) (get,1) (root,1) 
mock/JJ	(head,1) (NN,2) (JJ,1) (nmod:in,1) (acceptance,1) (nmod:around,1) (root,1) (shakes,1) (mock,1) (amod,1) (VBZ,1) 
sail/JJ	(acl:relcl,1) (JJ,1) (NNS,1) (sail,1) (VBP,1) (root,1) (ones,1) (dry,1) (VB,1) (nsubj,1) (ride,1) (xcomp,1) 
Most/RBS	(advmod,1) (RBS,1) (VBN,1) (trusted,1) (root,1) (Most,1) 
all/RB	(all,1) (RB,1) (torn,1) (encompassing,1) (advmod,1) (VBN,1) (root,1) (VBG,1) (xcomp,1) 
Milky/NNP	(Milky,1) (NNP,2) (nmod:across,1) (root,1) (pour,1) (VB,1) (compound,1) (Way,1) 
its/PRP$	(NNS,1) (PRP$,1) (nmod:poss,1) (root,1) (shakes,1) (its,1) (tendrils,1) (dobj,1) (VBZ,1) 
save?Keep/VB	(save?Keep,1) (root,1) (VBD,1) (advcl,1) (VB,1) (killed,1) 
most/RBS	(NN,1) (JJ,1) (unlikely,1) (RBS,1) (VBN,1) (acl,1) ('s,1) (VBZ,1) (most,1) (advmod,1) (found,1) (nmod:in,1) (root,1) (nsubj,1) (profit,1) 
'd/VBD	(JJ,1) (aux,1) (root,1) (VBD,1) (enough,1) ('d,1) 
leave/VB	(NN,1) (acl:relcl,1) (kook,1) (refused,1) (leave,1) (root,1) (VBD,1) (VB,1) (xcomp,1) 
glinted/VBD	(NN,2) (acl:relcl,1) (steel,1) (glinted,1) (nmod:of,1) (pile,1) (root,1) (VBD,1) 
do/VB	(root,1) (do,1) (VB,1) 
heavily/RB	(RB,1) (advmod,1) (accented,1) (root,1) (VBD,1) (heavily,1) 
than/IN	(save?Keep,1) (IN,1) (root,1) (than,1) (VBD,1) (advcl,1) (VB,1) (killed,1) (mark,1) 
creators/NNS	(NNS,1) (creators,1) (expected,1) (root,1) (VBD,1) (VBG,1) (VB,1) (resisting,1) (dobj,1) (begin,1) (xcomp,2) 
one/CD	(CD,1) (NNS,1) (VBN,1) (built,1) (root,1) (one,1) (acl,1) (thousands,1) (nmod:on,1) 
upgrades/NNS	(JJ,1) (NNS,1) (nmod:with,1) (able,1) (root,1) (upgrades,1) 
hoarse/JJ	(NN,1) (JJ,1) (root,1) (hoarse,1) (amod,1) (thing,1) 
paradise/NN	(NN,1) (root,1) (paradise,1) (xcomp,1) (becomes,1) (VBZ,1) 
really/RB	(RB,1) (advmod,1) (considering,1) (speaks,1) (root,1) (VBG,1) (advcl,1) (really,1) (VBZ,1) 
distinction/NN	(NN,2) (distinction,1) (planet,1) (root,1) (nsubj,1) 
motioning/VBG	(smiles,1) (root,1) (motioning,1) (VBG,1) (xcomp,1) (VBZ,1) 
intelligence/NN	(decided,1) (NN,1) (ccomp,1) (root,1) (VBD,2) (advcl,1) (let,1) (VB,1) (nsubj,1) (grew,1) (intelligence,1) 
asked/VBD	('',1) (asked,1) (root,1) (VBD,1) (VBG,1) (xcomp,1) 
important/JJ	(NN,2) (important,1) (JJ,1) (distinction,1) (planet,1) (root,1) (nsubj,1) (amod,1) 
convincing/JJ	(JJ,1) (had?I,1) (VBN,1) (cut,1) (ccomp,1) (convincing,1) (work,1) (root,1) (advcl,2) (VB,2) 
keep/VB	(remember,1) (ccomp,1) (root,1) (keep,1) (Do,1) (VB,3) (dep,1) 
away/RP	(NN,1) (acl:relcl,1) (whittling,1) (kook,1) (away,1) (compound:prt,1) (refused,1) (root,1) (VBD,1) (VBG,1) (xcomp,1) (RP,1) 
rendered/VBN	(VBN,2) (rendered,1) (root,1) (shocked,1) (xcomp,1) 
head/NN	(head,1) (NN,1) (nmod:around,1) (root,1) (shakes,1) (VBZ,1) 
away/RB	(RB,1) (advmod,1) (see,1) (away,1) (root,1) (parataxis,1) (VB,1) (becomes,1) (VBZ,1) 
key/NN	(NN,3) (nmod:of,2) (kind,1) (root,1) (sense,1) (key,1) 
anymore/RB	(RB,1) (advmod,1) (need,1) (root,1) (VB,1) (anymore,1) 
's/VBZ	(root,1) ('s,1) (VBZ,1) 
nonsense/NN	(NN,1) (root,1) (VBD,1) (nsubj,1) (killed,1) (nonsense,1) 
acceptance/NN	(head,1) (NN,2) (nmod:in,1) (acceptance,1) (nmod:around,1) (root,1) (shakes,1) (VBZ,1) 
path/NN	(all,1) (DT,1) (NN,1) (consuming,1) (path,1) (nmod:in,1) (root,1) (pour,1) (VBG,1) (VB,1) (dobj,1) (xcomp,1) 
bustle/NN	(NN,1) (root,1) (bustle,1) 
been/VBN	(JJ,1) (been,1) (VBN,1) (cop,1) (root,1) (enough,1) 
atmosphere/NN	(atmosphere,1) (NN,1) (nmod:into,1) (root,1) (VBD,1) (jerks,1) (conj:and,1) (becomes,1) (VBZ,1) 
did/VBD	(root,1) (VBD,1) (advcl,1) (VB,1) (make,1) (did,1) 
flourished/VBN	(consumed,1) (VBN,2) (flourished,1) (root,1) (VBD,1) (conj:and,2) (grew,1) 
emeralds/NNS	(remember,1) (NNS,1) (ccomp,1) (emeralds,1) (root,1) (Do,1) (VB,2) (dobj,1) 
so/IN	(IN,1) (root,1) (so,1) (dep,1) (becomes,1) (VBZ,1) 
him/PRP	(IN,1) (root,1) (VBG,1) (So,1) (giving,1) (him,1) (dep,1) (PRP,1) (iobj,1) 
left/VBN	(VBN,1) (left,1) (root,1) 
dominate/VB	(decided,1) (ccomp,2) (root,1) (VBD,2) (advcl,1) (let,1) (VB,2) (grew,1) (dominate,1) 
low/JJ	(NN,1) (JJ,1) (VBN,1) (nmod:into,1) (low,1) (root,1) (orbit,1) (amod,1) (shocked,1) 
twice?Well/JJ	(twice?Well,1) (JJ,1) (Fool,1) (root,1) (VB,1) (xcomp,1) 
bad/JJ	(RB,1) (JJ,1) (Not,1) (bad,1) (root,1) (dep,1) 
but/CC	(NN,1) (but,1) (CC,1) (cc,1) (curiosity,1) (root,1) 
call/VB	(call,1) (root,1) (VB,1) 
places/NNS	(NN,1) (JJ,1) (unlikely,1) (VBN,1) (nmod:of,1) (acl,1) ('s,1) (VBZ,1) (places,1) (NNS,1) (found,1) (nmod:in,1) (root,1) (nsubj,1) (profit,1) 
Bohemia/NNP	(RB,1) (JJ,1) (NN,1) (NNP,1) (nmod:from,1) (Not,1) (bad,1) (Bohemia,1) (root,1) (nmod:for,1) (boy,1) (dep,1) 
systems/NNS	(NN,1) (acl:relcl,1) (VBN,1) (seemed,1) (nsubjpass,1) (VB,1) (NNS,1) (ccomp,1) (systems,1) (root,1) (VBD,1) (cohesion,1) (dobj,1) (designed,1) (enhance,1) 
his/PRP$	(tells,1) (NN,1) (his,1) (PRP$,1) (nmod:poss,1) (root,1) (father,1) (nsubj,1) (VBZ,1) 
apart/RP	(torn,1) (VBN,1) (compound:prt,1) (root,1) (RP,1) (apart,1) 
That/DT	(NN,1) (That,1) (DT,1) (problem,1) (root,1) (nsubj,1) 
almost/RB	(NN,1) (RB,1) (advmod,1) (nmod:in,1) (almost,1) (root,1) (VBD,1) (war,1) (understood,1) 
moonbeams/JJ	(acl:relcl,1) (JJ,1) (moonbeams,1) (NNS,1) (VBP,1) (root,1) (ones,1) (dry,1) (VB,1) (nsubj,1) (ride,1) (xcomp,1) 
daughter/NN	(tells,1) (NN,1) (root,1) (dobj,1) (daughter,1) (VBZ,1) 
else/RB	(NN,1) (RB,1) (else,1) (root,1) (something,1) (dep,1) 
must/MD	(aux,1) (root,1) (MD,1) (must,1) (do,1) (VB,1) 
seemed/VBD	(seemed,1) (root,1) (VBD,1) 
lying/VBG	(NN,2) (nmod:at,1) (limp,1) (csubj,1) (root,1) (looking,1) (VBG,2) (amod,1) (hand,1) (lying,1) 
capable/JJ	(NN,1) (JJ,1) (planet,1) (root,1) (capable,1) (amod,1) 
travel/NN	(NN,2) (JJ,1) (nmod:than,1) (planet,1) (root,1) (capable,1) (amod,1) (travel,1) 
world/NN	(NN,1) (world,1) (root,1) (nsubj,1) (becomes,1) (VBZ,1) 
matters/VBZ	(ccomp,1) (matters,1) (root,1) (come,1) (VB,1) (VBZ,1) 
do/VBP	(VBP,1) (root,1) (do,1) 
Yes/UH	(UH,1) (Yes,1) (root,1) 
story/NN	(NN,1) (root,1) (story,1) 
found/VBN	(NN,1) (found,1) (VBN,1) (root,1) (acl,1) ('s,1) (nsubj,1) (profit,1) (VBZ,1) 
we/PRP	(acl:relcl,1) (NNP,1) (upload,1) (root,1) (VB,1) (nsubj,1) (Shall,1) (we,1) (PRP,1) 
faster/RBR	(NN,1) (JJ,1) (faster,1) (RBR,1) (planet,1) (root,1) (capable,1) (advcl,1) (amod,1) 
Excellent/VB	(Excellent,1) (root,1) (VB,1) 
Elementary/NNP	(zero,1) (NN,1) (NNP,1) (VBP,1) (root,1) (one,1) (Elementary,1) (dep,2) 
no/RB	(NN,1) (RB,1) (no,1) (neg,1) (kind,1) (root,1) 
1940s/NNS	(NN,1) (acl:relcl,1) (kook,1) (1940s,1) (NNS,1) (refused,1) (leave,1) (nmod:since,1) (root,1) (VBD,1) (VB,1) (xcomp,1) 
are/VBP	(NN,1) (JJ,1) (are,1) (VBP,1) (cop,1) (planet,1) (root,1) (capable,1) (amod,1) 
You/PRP	(root,1) (VB,1) (nsubj,1) (make,1) (You,1) (PRP,1) 
tendrils/NNS	(NNS,1) (root,1) (shakes,1) (tendrils,1) (dobj,1) (VBZ,1) 
enters/VBZ	(VBP,1) (enters,1) (root,1) (speak,1) (advcl,2) (VB,1) (send,1) (VBZ,1) 
into/IN	(NN,1) (into,1) (VBN,1) (nmod:into,1) (IN,1) (root,1) (orbit,1) (shocked,1) (case,1) 
ago/RB	(RB,1) (advmod,1) (IN,1) (root,1) (ago,1) (So,1) 
going/VBG	(ccomp,1) (going,1) (root,1) (VBD,1) (VBG,1) (understood,1) 
All/PDT	(All,1) (PDT,1) (det:predet,1) (NNS,1) (races,1) (root,1) (do,1) (VB,1) (nsubj,1) 
get/VBP	(VBP,1) (get,1) (root,1) 
pattern/NN	(NN,2) (ccomp,1) (seemed,1) (root,1) (recognition,1) (pattern,1) (VBD,1) (enjoy,1) (VB,1) (dobj,1) (compound,1) 
access/NN	(DT,1) (NN,1) (nmod:without,1) (access,1) (root,1) (Those,1) 
rooms/NNS	(acl:relcl,1) (slipping,1) (rooms,1) (nmod:into,1) (VBP,1) (dry,1) (VB,1) (ride,1) (NNS,2) (ccomp,1) (root,1) (ones,1) (VBG,1) (nsubj,1) 
At/IN	(JJ,1) (normal,1) (advmod,1) (At,1) (IN,1) (root,1) 
life/NN	(NN,5) (nmod:of,2) (kind,1) (root,1) (I,1) (nmod:to,1) (sense,1) (compound,1) (key,1) (life,1) 
far/RB	(RB,2) (advmod,2) (see,1) (away,1) (far,1) (root,1) (parataxis,1) (VB,1) (becomes,1) (VBZ,1) 
move/VB	(NN,1) (JJ,1) (wait,1) (move,1) (VBN,1) (VBP,1) (amod,1) (VB,1) (Frozen,1) (xcomp,1) (unable,1) (root,1) (nmod:to,1) (advcl,1) (ground,1) 
golden/JJ	(NN,3) (JJ,1) (nmod:of,2) (kind,1) (root,1) (golden,1) (sense,1) (amod,1) (key,1) 
in/IN	(NN,1) (in,1) (IN,1) (root,1) (case,1) (hand,1) 
quite/RB	(NN,1) (RB,1) (advmod,1) (root,1) (quite,1) (story,1) 
just/RB	(NN,1) (RB,1) (advmod,1) (curiosity,1) (root,1) (just,1) 
know/VBP	(think,1) (ccomp,1) (VBP,2) (root,1) (know,1) 
kind/NN	(NN,1) (kind,1) (root,1) 
