Fantasy/NNP	(NNP,1) (root,1) (Fantasy,1) 
turning/VBG	(turning,1) (hummed,1) (root,1) (VBD,1) (VBG,1) (xcomp,1) 
narrowed/VBD	(root,1) (VBD,1) (narrowed,1) 
sat/VBD	(ccomp,1) (VBP,1) (didnt,1) (root,1) (sat,1) (know,1) (VBD,1) (VB,1) (xcomp,1) 
see/VBP	(see,1) (VBP,1) (root,1) 
hair/NN	(JJ,1) (fit,1) (NN,1) (hair,1) (ccomp,1) (nmod:with,1) (root,1) (VBG,1) (tall,1) (appearing,1) (VB,1) (xcomp,1) 
wasnt/NN	(NN,1) (ccomp,1) (wasnt,1) (root,1) (was,1) (VBD,2) (crowded,1) (nsubj,1) 
it/PRP	(handled,1) (root,1) (VBD,1) (it,1) (dobj,1) (PRP,1) 
ribbed/VBD	(root,1) (ribbed,1) (VBD,1) 
of/IN	(NN,1) (IN,1) (root,1) (of,1) (case,1) (anything,1) 
In/IN	(NN,1) (log,1) (In,1) (IN,1) (root,1) (case,1) 
round/NN	(JJ,1) (NN,2) (VB,1) (compound,1) (xcomp,1) (booth,1) (fit,1) (ccomp,1) (nmod:in,1) (round,1) (root,1) (VBG,1) (tall,1) (appearing,1) 
sliding/VBG	(sliding,1) (root,1) (VBD,1) (VBG,1) (said,1) (xcomp,1) 
tall/JJ	(JJ,1) (root,1) (tall,1) 
He/PRP	(root,1) (VBD,1) (said,1) (nsubj,1) (He,1) (PRP,1) 
that?He/NN	(JJ,1) (NN,2) (that?He,1) (csubj,1) (nmod:of,1) (root,1) (dead,1) (point,1) 
street/NN	(JJ,1) (NN,1) (find,1) (street,1) (root,1) (hard,1) (VB,1) (nmod:on,1) (xcomp,1) 
me/PRP	(werent,1) (VBP,1) (root,1) (me,1) (nmod:for,1) (PRP,1) 
The/DT	(NN,1) (The,1) (DT,1) (det,1) (root,1) (VBD,1) (man,1) (said,1) (nsubj,1) 
done/VBN	(wish,1) (VBN,1) (ccomp,1) (VBP,1) (root,1) (VBD,1) (advcl,1) (lived,1) (done,1) 
self/RB	(NN,1) (RB,1) (advmod,1) (smiled,1) (VBN,1) (satisfied,1) (root,1) (VBD,1) (self,1) (dobj,1) (amod,1) (smirk,1) 
died/VBD	(root,1) (writing,1) (VBD,2) (VBG,1) (advcl,1) (died,1) (did,1) (dep,1) 
probably/RB	(JJ,2) (alive,1) (probably,1) (go,1) (joked,1) (VB,1) (RB,1) (advmod,1) (ccomp,2) (root,1) (VBD,1) (advcl,1) (funny,1) 
like/VB	(like,1) (root,1) (VB,1) 
appearing/VBG	(JJ,1) (ccomp,1) (root,1) (VBG,1) (tall,1) (appearing,1) 
wandered/VBD	(wandered,1) (root,1) (VBD,1) 
students/NNS	(NNS,1) (root,1) (VBD,1) (students,1) (nsubj,1) (did,1) 
already/RB	(NN,1) (RB,1) (advmod,1) (edge,1) (occurred,1) (already,1) (root,1) (VBD,1) (advcl,1) 
Well/RB	(RB,1) (advmod,1) (paused,1) (coughing,1) (root,1) (Well,1) (VBD,1) (VBG,1) (xcomp,1) 
copy/NN	(NN,1) (NNS,1) (weeks,1) (nmod:tmod,1) (root,1) (gave,1) (VBD,1) (copy,1) (compound,1) 
dont/VBP	(VBP,1) (root,1) (dont,1) 
men/NNS	(NN,1) (see,1) (NNS,1) (nmod:of,1) (glanced,1) (root,1) (men,1) (VBD,1) (VB,1) (dobj,1) (xcomp,1) (group,1) 
there/EX	(expl,1) (EX,1) (root,1) (there,1) (was,1) (VBD,1) 
about/IN	(scrattered,1) (VBN,1) (IN,1) (root,1) (nmod,1) (about,1) 
different/JJ	(wish,1) (JJ,1) (VBN,1) (ccomp,1) (VBP,1) (root,1) (VBD,1) (advcl,1) (lived,1) (different,1) (done,1) (xcomp,1) 
always/RB	(always,1) (RB,1) (advmod,1) (VBN,1) (root,1) (had,1) 
this/DT	(NN,1) (DT,1) (det,1) (nmod:in,1) (root,1) (this,1) (flowed,1) (VBD,1) (place,1) 
writing/NN	(NN,1) (root,1) (writing,1) (VBD,1) (dobj,1) (did,1) 
So/RB	(RB,1) (replied,1) (root,1) (VBD,1) (parataxis,1) (So,1) 
writing/VBG	(root,1) (writing,1) (VBD,1) (VBG,1) (did,1) (dep,1) 
long/RB	(RB,1) (advmod,1) (ccomp,1) (VBP,1) (didnt,1) (root,1) (sat,1) (know,1) (VBD,1) (VB,1) (xcomp,1) (long,1) 
be/VB	(JJ,1) (be,1) (cop,1) (root,1) (VBD,1) (had,1) (advcl,1) (fair,1) (VB,1) 
.../VBZ	(root,1) (...,1) (VBZ,1) 
Abraham/NNP	(Abraham,1) (NNP,1) (hummed,1) (root,1) (VBD,1) (nsubj,1) 
thing/NN	(NN,2) (NNP,1) (nmod:of,1) (root,1) (Fantasy,1) (sort,1) (thing,1) (dep,1) 
grey/JJ	(JJ,1) (NNS,1) (appeared,1) (nmod:with,1) (hairs,1) (root,1) (VBD,1) (amod,1) (grey,1) 
This/DT	(NN,1) (DT,1) (det,1) (called,1) (root,1) (one,1) (VBD,1) (This,1) (nsubj,1) 
amongst/IN	(NN,1) (nmod:of,1) (IN,1) (glanced,1) (acl,1) (VB,1) (xcomp,1) (nmod:amongst,1) (PRP,1) (amongst,1) (see,1) (NNS,1) (root,1) (men,1) (themselves,1) (VBD,1) (VBG,2) (advcl,1) (dobj,1) (chatting,1) (sitting,1) (case,1) (group,1) 
yes/UH	(cut,1) (UH,2) (Yes,1) (yes,1) (root,1) (VBD,1) (dep,1) (discourse,1) 
Today/NN	(NN,1) (Today,1) (nmod:tmod,1) (looked,1) (root,1) (VBD,1) 
front/NN	(NN,2) (brought,1) (in,1) (IN,1) (root,1) (VBD,1) (mwe,1) (front,1) (nsubj,1) (laughter,1) (case,1) 
alive/JJ	(JJ,2) (alive,1) (root,1) (advcl,1) (funny,1) 
well/RB	(RB,1) (advmod,1) (handled,1) (root,1) (VBD,1) (well,1) 
sitting/VBG	(NN,1) (nmod:of,1) (glanced,1) (acl,1) (VB,1) (xcomp,1) (see,1) (NNS,1) (root,1) (men,1) (VBD,1) (VBG,1) (dobj,1) (sitting,1) (group,1) 
attention/NN	(NN,1) (werent,1) (paying,1) (VBP,1) (root,1) (attention,1) (VBG,1) (dobj,1) (xcomp,1) 
And/CC	(CC,1) (cc,1) (And,1) (root,1) (VBD,1) (had,1) 
if/IN	(werent,1) (VBP,1) (IN,1) (root,1) (if,1) (mark,1) 
paying/VBG	(werent,1) (paying,1) (VBP,1) (root,1) (VBG,1) (xcomp,1) 
How/WRB	(RB,1) (How,1) (advmod,1) (else,1) (WRB,1) (root,1) (VB,1) (suppose,1) (dep,1) 
damn/RB	(JJ,1) (damn,1) (RB,1) (advmod,1) (root,1) (hard,1) 
struggled/VBD	(root,1) (struggled,1) (VBD,1) 
fact/NN	(NN,1) (cut,1) (fact,1) (nmod:in,1) (root,1) (VBD,1) 
other/JJ	(JJ,1) (see,1) (NNS,1) (other,1) (glanced,1) (root,1) (guests,1) (VBD,1) (nmod:to,1) (VB,1) (amod,1) (xcomp,1) 
didnt/VBP	(VBP,1) (didnt,1) (root,1) 
that/DT	(DT,1) (that,1) (wasnt,1) (root,1) (VBD,1) (nmod:like,1) 
those/DT	(all,1) (DT,2) (hours,1) (NNS,1) (det,1) (root,1) (nsubj,1) (those,1) 
tended/VBN	(tended,1) (VBN,1) (root,1) (was,1) (VBD,1) (conj:and,1) 
even/RB	(JJ,1) (NN,1) (RB,1) (advmod,1) (strong,1) (slur,1) (nmod:with,1) (even,1) (root,1) 
Hemlock/NNP	(lot,1) (NN,1) (NNP,1) (nmod:of,1) (root,1) (Hemlock,1) (VBD,1) (had,1) (dobj,1) 
booth/NN	(JJ,1) (fit,1) (NN,1) (ccomp,1) (nmod:in,1) (root,1) (VBG,1) (tall,1) (appearing,1) (VB,1) (xcomp,1) (booth,1) 
To/TO	(JJ,1) (root,1) (VBD,1) (had,1) (advcl,1) (fair,1) (To,1) (TO,1) (mark,1) 
roads/NNS	(NNS,1) (VBN,1) (nsubjpass,1) (root,1) (VBD,1) (roads,1) (had,1) (filled,1) (dep,1) 
Where/WRB	(advmod,1) (like,1) (VBP,1) (WRB,1) (root,1) (advcl,1) (deviants,1) (Where,1) (VBZ,1) 
only/RB	(RB,1) (advmod,1) (occurred,1) (root,1) (only,1) (VBD,1) 
felt/VBD	(wandered,1) (root,1) (felt,1) (VBD,2) (advcl,1) 
trimmed/VBN	(JJ,1) (NN,1) (VBN,1) (beard,1) (nmod:with,1) (VB,1) (amod,1) (xcomp,1) (fit,1) (ccomp,1) (root,1) (VBG,1) (tall,1) (appearing,1) (trimmed,1) 
embarrassment/NN	(NN,1) (paused,1) (coughing,1) (nmod:in,1) (root,1) (VBD,1) (VBG,1) (xcomp,1) (embarrassment,1) 
wasnt/VBD	(wasnt,1) (root,1) (VBD,1) 
older/JJR	(NN,1) (JJR,1) (root,1) (VBD,1) (older,1) (man,1) (said,1) (nsubj,1) (amod,1) 
written/JJ	(NN,1) (JJ,1) (root,1) (written,1) (amod,1) (anything,1) 
interrupting/VB	(interrupting,1) (root,1) (VB,2) (dep,1) (youre,1) 
sarcastically/RB	(RB,1) (advmod,1) (replied,1) (root,1) (VBD,1) (sarcastically,1) 
heard/VBN	(VBN,1) (root,1) (VBD,1) (had,1) (shout,1) (VB,1) (xcomp,2) (heard,1) 
between/IN	(NN,1) (nmod:between,1) (IN,1) (fingers,1) (xcomp,2) (NNS,1) (cigar,1) (root,1) (VBD,1) (VBG,1) (said,1) (between,1) (case,1) (taking,1) 
your/PRP$	(frequented,1) (NN,1) (nmod:in,1) (PRP$,1) (nmod:poss,1) (root,1) (VBD,1) (time,1) (your,1) 
mustache/NN	(NN,1) (stroking,1) (root,1) (VBD,1) (VBG,1) (said,1) (dobj,1) (xcomp,1) (mustache,1) 
regular/JJ	(JJ,2) (NN,1) (find,1) (root,1) (hard,1) (dive,1) (VB,1) (dobj,1) (amod,1) (xcomp,1) (regular,1) 
happened/VBD	(JJ,1) (root,1) (VBD,1) (advcl,1) (funny,1) (happened,1) 
stroking/VBG	(stroking,1) (root,1) (VBD,1) (VBG,1) (said,1) (xcomp,1) 
special/JJ	(NN,1) (special,1) (JJ,1) (root,1) (amod,1) (anything,1) 
first/RB	(RB,1) (advmod,1) (VBN,1) (root,1) (stumbled,1) (first,1) 
animated/VBN	(RB,1) (VBN,1) (root,1) (animated,1) (bit,1) (dobj,1) (amod,1) (gets,1) (VBZ,1) 
mean/VB	(VBP,1) (mean,1) (didnt,1) (root,1) (VB,1) (xcomp,1) 
behind/IN	(NN,2) (nmod:behind,1) (behind,1) (IN,1) (root,1) (VBD,1) (man,1) (counter,1) (said,1) (nsubj,1) (case,1) 
Oh/UH	(UH,1) (root,1) (Oh,1) (VB,1) (youre,1) (discourse,1) 
cut/VBD	(cut,1) (root,1) (VBD,1) 
my/PRP$	(NNS,1) (PRP$,1) (nmod:poss,1) (root,1) (VBD,1) (students,1) (nsubj,1) (my,1) (did,1) 
actual/JJ	(NN,1) (JJ,1) (actual,1) (root,1) (writing,1) (VBD,1) (dobj,1) (amod,1) (did,1) 
inviting/VBG	(acl:relcl,1) (brought,1) (inviting,1) (root,1) (VBD,1) (VBG,1) (dobj,1) (him,1) (PRP,1) 
loosing/VBG	(all,1) (DT,1) (hours,1) (NNS,1) (root,1) (loosing,1) (VBG,1) (acl,1) (nsubj,1) 
geniuses/VBZ	(like,1) (VBP,1) (root,1) (geniuses,1) (advcl,1) (VBZ,1) 
approvingly/RB	(nodded,1) (RB,1) (advmod,1) (root,1) (VBD,1) (approvingly,1) 
Sometimes/RB	(RB,1) (advmod,1) (resembled,1) (Sometimes,1) (root,1) (VBD,1) 
started/VBD	(ccomp,1) (guess,1) (VBP,1) (root,1) (VBD,1) (started,1) 
natured/JJ	(natured,1) (JJ,1) (caught,1) (NNS,1) (accusatory,1) (root,1) (VBD,1) (amod,1) (nmod:leonardo,1) 
about?I/NNS	(NNS,1) (ccomp,2) (admit,1) (VBP,1) (root,1) (VBD,1) (VB,1) (nsubj,1) (write,1) (about?I,1) (did,1) 
know/VB	(VBP,1) (didnt,1) (root,1) (know,1) (VB,1) (xcomp,1) 
end/VB	(NN,1) (acl:relcl,1) (VBN,1) (death,1) (nmod:after,1) (root,1) (end,1) (VB,1) (stumbled,1) 
rude/JJ	(acl:relcl,1) (JJ,1) (rude,1) (advmod,1) (brought,1) (inviting,1) (root,1) (VBD,1) (VBG,1) (dobj,1) (him,1) (PRP,1) 
log/NN	(NN,1) (log,1) (root,1) 
hed/NN	(JJ,2) (NN,1) (ccomp,1) (alive,1) (hed,1) (root,1) (VBD,1) (advcl,1) (joked,1) (nsubj,1) (funny,1) 
polished/JJ	(scrattered,1) (polished,1) (JJ,1) (tables,1) (NNS,1) (VBN,1) (nsubjpass,1) (root,1) (amod,1) 
strangely/RB	(RB,1) (advmod,1) (root,1) (strangely,1) (flowed,1) (VBD,1) 
If/IN	(VBN,2) (asked,1) (winked,1) (IN,1) (root,1) (advcl,1) (If,1) (mark,1) 
than/IN	(some,1) (IN,1) (more,1) (dep,1) (DT,1) (advmod,1) (JJR,1) (root,1) (writing,1) (than,1) (VBD,1) (VBG,1) (mwe,1) (nsubj,1) (did,1) 
join/VB	(like,1) (root,1) (join,1) (VB,2) (xcomp,1) 
listening/VBG	(listening,1) (ccomp,1) (VBP,1) (didnt,1) (root,1) (sat,1) (know,1) (VBD,1) (VBG,1) (VB,1) (xcomp,1) (dep,1) 
difference/NN	(JJ,1) (NN,1) (root,1) (tell,1) (difference,1) (hard,1) (VB,1) (dobj,1) (xcomp,1) 
funny/JJ	(JJ,1) (root,1) (funny,1) 
hours/NNS	(all,1) (DT,1) (hours,1) (NNS,1) (root,1) (nsubj,1) 
dream/NN	(NN,1) (caught,1) (nmod:in,1) (dream,1) (root,1) (VBD,1) 
back/RB	(RB,1) (advmod,1) (brought,1) (root,1) (VBD,1) (back,1) 
Allen/NNP	(NNP,1) (root,1) (VBD,1) (said,1) (Allen,1) (nsubj,1) 
really/RB	(RB,1) (advmod,1) (VBP,1) (hadnt,1) (root,1) (really,1) 
shrug/NN	(NN,1) (nmod:with,1) (root,1) (VBD,1) (shrug,1) (said,1) 
grown/VBN	(acl:relcl,1) (NNP,1) (VBN,1) (resembled,1) (York,1) (root,1) (VBD,1) (grown,1) (xcomp,1) 
tell/VB	(JJ,1) (root,1) (tell,1) (hard,1) (VB,1) (xcomp,1) 
how/WRB	(acl:relcl,1) (JJ,1) (brought,1) (inviting,1) (WRB,1) (him,1) (PRP,1) (rude,1) (advmod,2) (how,1) (root,1) (VBD,1) (VBG,1) (dobj,1) 
hanging/VBG	(JJ,1) (NNS,1) (nmod:with,1) (lit,1) (root,1) (curtains,1) (VBG,1) (acl,1) (hanging,1) 
asked/VBD	(asked,1) (root,1) (VBD,1) 
changing/JJ	(JJ,1) (streets,1) (was,1) (changing,1) (amod,1) (wandering,1) (xcomp,1) (NNS,1) (found,1) (ccomp,1) (root,1) (VBD,2) (VBG,1) (dobj,1) 
Forgive/VB	(feels,1) (ccomp,1) (root,1) (VB,1) (VBZ,1) (Forgive,1) 
many/JJ	(JJ,1) (NNS,1) (VBN,1) (nmod:with,1) (root,1) (VBD,1) (had,1) (filled,1) (many,1) (amod,1) (people,1) (dep,1) 
sparkle/NN	(NN,1) (sparkle,1) (smiled,1) (root,1) (VBD,1) (dobj,1) 
push/VB	(root,1) (VBD,1) (had,1) (VB,1) (push,1) (xcomp,1) 
hung/VBD	(JJ,1) (NN,1) (acl:relcl,1) (beard,1) (nmod:with,1) (VB,1) (xcomp,1) (fit,1) (ccomp,1) (root,1) (hung,1) (VBD,1) (VBG,1) (tall,1) (appearing,1) 
during/IN	(NN,1) (IN,1) (root,1) (writing,1) (nmod:during,1) (VBD,1) (VBG,1) (during,1) (did,1) (dep,1) (life,1) (case,1) 
fingers/NNS	(NN,1) (nmod:between,1) (NNS,1) (cigar,1) (root,1) (VBD,1) (VBG,1) (said,1) (fingers,1) (xcomp,2) (taking,1) 
head/NN	(head,1) (NN,1) (replied,1) (root,1) (VBD,1) (VBG,1) (dobj,1) (shaking,1) (xcomp,1) 
asked/VBN	(VBN,2) (asked,1) (winked,1) (root,1) (advcl,1) 
drinks/NNS	(JJ,1) (NNS,1) (root,1) (drinks,1) (was,1) (VBD,1) (nsubj,1) (good,1) (dep,1) 
write/VB	(root,1) (VB,1) (write,1) 
vacant/JJ	(JJ,2) (NN,1) (find,1) (street,1) (root,1) (hard,1) (VB,1) (amod,1) (nmod:on,1) (xcomp,1) (vacant,1) 
only/JJ	(JJ,1) (NNS,1) (VBN,1) (nmod:tmod,1) (root,1) (only,1) (days,1) (amod,1) (stumbled,1) 
themselves/PRP	(NN,1) (nmod:of,1) (glanced,1) (acl,1) (VB,1) (xcomp,1) (nmod:amongst,1) (PRP,1) (see,1) (NNS,1) (root,1) (men,1) (themselves,1) (VBD,1) (VBG,2) (advcl,1) (dobj,1) (chatting,1) (sitting,1) (group,1) 
fair/JJ	(JJ,1) (root,1) (VBD,1) (had,1) (advcl,1) (fair,1) 
gets/VBZ	(root,1) (gets,1) (VBZ,1) 
hobby/NN	(NN,1) (nmod:as,1) (ccomp,1) (guess,1) (VBP,1) (root,1) (VBD,1) (started,1) (hobby,1) 
been/VBN	(wandered,1) (been,1) (VBN,1) (root,1) (VBD,1) (advcl,1) 
did/VBD	(root,1) (VBD,1) (did,1) 
red/JJ	(JJ,2) (red,1) (NNS,1) (nmod:with,1) (lit,1) (root,1) (curtains,1) (amod,1) 
curly/JJ	(JJ,2) (NN,1) (curly,1) (nmod:with,1) (VB,1) (amod,1) (xcomp,1) (fit,1) (hair,1) (ccomp,1) (root,1) (VBG,1) (tall,1) (appearing,1) 
him/PRP	(brought,1) (root,1) (VBD,1) (dobj,1) (him,1) (PRP,1) 
left/VBN	(NNS,1) (appeared,1) (VBN,1) (nmod:with,1) (left,1) (hairs,1) (root,1) (VBD,1) (acl,1) 
things/NNS	(JJ,1) (VBN,1) (VBP,1) (done,1) (xcomp,1) (wish,1) (NNS,1) (ccomp,1) (root,1) (things,1) (VBD,1) (advcl,1) (lived,1) (different,1) (nsubj,1) 
middle/NN	(NN,2) (middle,1) (nmod:in,1) (log,1) (root,1) 
bad/JJ	(JJ,1) (conj:but,1) (bad,1) (VBP,1) (root,1) (VBD,1) (feel,1) (said,1) (xcomp,1) 
bit/RB	(RB,1) (root,1) (bit,1) (dobj,1) (gets,1) (VBZ,1) 
again/RB	(RB,1) (advmod,1) (appeared,1) (VBN,1) (root,1) (again,1) 
surely/RB	(RB,1) (surely,1) (advmod,1) (VBN,1) (ccomp,1) (replied,1) (root,1) (VBD,1) (destined,1) 
but/CC	(but,1) (CC,1) (cc,1) (root,1) (VBD,1) (did,1) 
his/PRP$	(NN,1) (VBN,1) (his,1) (PRP$,1) (nmod:poss,1) (root,1) (had,1) (dobj,1) (way,1) 
answered/VBD	(answered,1) (root,1) (VBD,1) 
hastily/RB	(RB,1) (advmod,1) (replied,1) (hastily,1) (root,1) (VBD,1) 
seat/NN	(sliding,1) (seat,1) (NN,1) (nmod:into,1) (root,1) (VBD,1) (VBG,1) (said,1) (xcomp,1) 
almost/RB	(JJ,1) (RB,1) (advmod,1) (almost,1) (root,1) (funny,1) 
Im/VB	(Im,1) (root,1) (VB,1) 
must/MD	(acl:relcl,1) (feels,1) (measure,1) (nmod:next_to,1) (aux,1) (root,1) (MD,1) (must,1) (VB,1) (us,1) (VBZ,1) (PRP,1) 
else/RB	(RB,1) (else,1) (root,1) (VB,1) (suppose,1) (dep,1) 
found/VBD	(found,1) (ccomp,1) (root,1) (was,1) (VBD,2) 
jeered/VBD	(ccomp,1) (called,1) (root,1) (jeered,1) (VBD,2) 
His/PRP$	(JJ,1) (NN,1) (strong,1) (His,1) (PRP$,1) (nmod:poss,1) (root,1) (nsubj,1) (accent,1) 
pits/NNS	(NNS,1) (VBN,1) (ccomp,1) (replied,1) (root,1) (VBD,1) (destined,1) (pits,1) (nmod:for,1) 
cozy/RB	(RB,1) (advmod,1) (cozy,1) (root,1) (was,1) (VBD,1) 
scrattered/VBN	(scrattered,1) (VBN,1) (root,1) 
do/VBP	(VBP,1) (aux,1) (root,1) (do,1) (VB,1) (write,1) 
Yes/UH	(cut,1) (UH,1) (Yes,1) (root,1) (VBD,1) (discourse,1) 
story/NN	(all,1) (DT,1) (NN,1) (hours,1) (NNS,1) (nmod:in,1) (root,1) (loosing,1) (VBG,1) (acl,1) (nsubj,1) (story,1) 
truthfully/RB	(RB,1) (advmod,1) (answered,1) (truthfully,1) (root,1) (VBD,1) 
we/PRP	(root,1) (VBD,1) (had,1) (nsubj,1) (we,1) (PRP,1) 
Whatve/NNP	(NNP,1) (asked,1) (root,1) (VBD,1) (dobj,1) (Whatve,1) 
people/NNS	(NNS,1) (VBN,1) (nmod:with,1) (root,1) (VBD,1) (had,1) (filled,1) (people,1) (dep,1) 
are/VBP	(JJ,1) (are,1) (VBP,1) (cop,1) (root,1) (welcome,1) 
shovel/NN	(NN,2) (log,1) (root,1) (shovel,1) (nmod:on,1) 
good/JJ	(JJ,1) (root,1) (was,1) (VBD,1) (good,1) (dep,1) 
You/PRP	(VBP,1) (root,1) (havent,1) (nsubj,1) (You,1) (PRP,1) 
left/NN	(NN,2) (left,1) (root,1) (VBD,1) (man,1) (said,1) (nsubj,1) (nmod:on,1) 
into/IN	(sliding,1) (seat,1) (NN,1) (into,1) (nmod:into,1) (IN,1) (root,1) (VBD,1) (VBG,1) (said,1) (xcomp,1) (case,1) 
filled/VBN	(VBN,1) (root,1) (VBD,1) (had,1) (filled,1) (dep,1) 
got/VBD	(all,1) (DT,1) (acl:relcl,1) (root,1) (VBD,1) (got,1) 
open/JJ	(sliding,1) (seat,1) (NN,1) (JJ,1) (nmod:into,1) (root,1) (VBD,1) (VBG,1) (said,1) (amod,1) (xcomp,1) (open,1) 
slight/JJ	(JJ,2) (NN,1) (strong,1) (slur,1) (slight,1) (nmod:with,1) (root,1) (amod,1) 
younger/JJR	(appeared,1) (JJR,1) (younger,1) (root,1) (VBD,1) (dobj,1) 
Time/NNP	(NNP,1) (root,1) (flowed,1) (VBD,1) (Time,1) (nsubj,1) 
giant/NN	(JJ,1) (NN,1) (Easy,1) (root,1) (giant,1) (VBG,1) (fucking,1) (dobj,1) (dep,1) 
wish/VBP	(wish,1) (VBP,1) (root,1) (VBD,1) (advcl,1) (lived,1) 
forest/NN	(NN,3) (forest,1) (middle,1) (nmod:in,1) (log,1) (nmod:of,1) (root,1) 
lot/NN	(lot,1) (NN,1) (root,1) (VBD,1) (had,1) (dobj,1) 
beyond/IN	(NN,1) (nmod:beyond,1) (living,1) (IN,1) (was,1) (wandering,1) (beyond,1) (xcomp,1) (found,1) (ccomp,1) (root,1) (VBD,2) (VBG,1) (case,1) 
taught/VBD	(ccomp,1) (Im,1) (taught,1) (root,1) (VBD,1) (VBG,1) (saying,1) (VB,1) (xcomp,1) 
Leonardo/IN	(Leonardo,1) (caught,1) (NNS,1) (IN,1) (accusatory,1) (root,1) (VBD,1) (case,1) (nmod:leonardo,1) 
absolute/JJ	(JJ,2) (NN,3) (VB,1) (amod,1) (xcomp,1) (appos,1) (ears,1) (nmod:in,1) (find,1) (street,1) (absolute,1) (root,1) (hard,1) (silence,1) (nmod:on,1) 
life/NN	(NN,1) (root,1) (writing,1) (nmod:during,1) (VBD,1) (VBG,1) (did,1) (dep,1) (life,1) 
over/RP	(acl:relcl,1) (over,1) (brought,1) (compound:prt,1) (inviting,1) (root,1) (VBD,1) (VBG,1) (dobj,1) (him,1) (RP,1) (PRP,1) 
brought/VBD	(brought,1) (root,1) (VBD,1) 
wink/NN	(NN,1) (replied,1) (nmod:with,1) (root,1) (adding,1) (wink,1) (VBD,1) (VBG,1) (advcl,1) 
Still/RB	(RB,1) (advmod,1) (root,1) (VBD,1) (lived,1) (Still,1) 
in/IN	(NN,1) (brought,1) (in,1) (IN,1) (root,1) (VBD,1) (nsubj,1) (laughter,1) (case,1) 
just/RB	(RB,1) (advmod,1) (Im,1) (root,1) (VB,1) (just,1) 
science/NN	(NN,2) (NNP,1) (fiction,1) (root,1) (science,1) (Fantasy,1) (compound,1) (appos,1) 
sketched/VBD	(acl:relcl,1) (think,1) (VBN,1) (hands,1) (like,1) (VBP,1) (sketched,1) (VB,1) (guided,1) (xcomp,1) (dep,1) (NNS,1) (root,1) (VBD,1) (dobj,1) 
more/JJR	(DT,1) (some,1) (advmod,1) (JJR,1) (more,1) (root,1) (writing,1) (VBD,1) (VBG,1) (nsubj,1) (did,1) (dep,1) 
ODing/NNP	(JJ,2) (alive,1) (nmod:by,1) (go,1) (joked,1) (VB,1) (NNP,1) (ccomp,2) (ODing,1) (root,1) (VBD,1) (advcl,1) (funny,1) 
cabin/VBN	(NN,1) (VBN,1) (log,1) (root,1) (cabin,1) (acl,1) 
with/IN	(NN,1) (with,1) (nmod:with,1) (IN,1) (root,1) (VBD,1) (shrug,1) (said,1) (case,1) 
next/JJ	(next,1) (JJ,1) (feels,1) (nmod:next_to,1) (root,1) (us,1) (case,1) (VBZ,1) (PRP,1) 
occurred/VBD	(occurred,1) (root,1) (VBD,1) 
welcome/JJ	(JJ,1) (root,1) (welcome,1) 
liked/VBD	(JJ,1) (conj:but,1) (root,1) (VBD,1) (hard,1) (liked,1) 
Italian/JJ	(JJ,2) (NN,1) (strong,1) (Italian,1) (root,1) (nsubj,1) (amod,1) (accent,1) 
jazz/NN	(NN,2) (lounge,1) (looked,1) (jazz,1) (root,1) (VBD,1) (nmod:like,1) (compound,1) 
I/PRP	(root,1) (VBD,1) (I,1) (had,1) (nsubj,1) (PRP,1) 
feel/VBP	(conj:but,1) (VBP,1) (root,1) (VBD,1) (feel,1) (said,1) 
caught/VBD	(caught,1) (root,1) (VBD,1) 
thought/NN	(NN,1) (caught,1) (VBN,1) (Im,1) (thought,1) (nmod:of,1) (acl,1) (NNP,1) (NNS,1) (schools,1) (root,1) (VBD,1) (lived,1) (nsubj,1) (nmod:on,1) 
hairs/NNS	(NNS,1) (appeared,1) (nmod:with,1) (hairs,1) (root,1) (VBD,1) 
disappeared/VBD	(root,1) (ribbed,1) (disappeared,1) (VBD,2) (advcl,1) 
lower/VB	(root,1) (lower,1) (VB,2) (suppose,1) (xcomp,1) 
caught/VBN	(NNP,1) (caught,1) (VBN,1) (Im,1) (root,1) (VBD,1) (lived,1) (acl,1) (nsubj,1) 
took/VBD	(took,1) (root,1) (VBD,1) 
paused/VBD	(paused,1) (root,1) (VBD,1) 
ringing/VBG	(JJ,1) (NN,2) (ringing,1) (VB,1) (amod,1) (xcomp,1) (appos,1) (ears,1) (find,1) (street,1) (root,1) (VBG,1) (hard,1) (nmod:on,1) 
anything/NN	(NN,1) (root,1) (anything,1) 
ears/NN	(JJ,1) (NN,2) (ears,1) (find,1) (street,1) (root,1) (hard,1) (VB,1) (nmod:on,1) (xcomp,1) (appos,1) 
find/VB	(JJ,1) (find,1) (root,1) (hard,1) (VB,1) (xcomp,1) 
chattering/VBG	(NNS,1) (interrupting,1) (chattering,1) (root,1) (VBG,1) (acl,1) (VB,2) (dobj,1) (dep,1) (mens,1) (youre,1) 
cigar/NN	(NN,1) (cigar,1) (root,1) (VBD,1) (VBG,1) (said,1) (xcomp,2) (taking,1) 
himself/PRP	(himself,1) (brought,1) (root,1) (VBD,1) (nmod:to,1) (PRP,1) 
hands/NNS	(think,1) (NNS,1) (VBN,1) (hands,1) (like,1) (VBP,1) (root,1) (VB,1) (dobj,1) (guided,1) (xcomp,1) (dep,1) 
youve/NN	(NN,1) (see,1) (ccomp,1) (youve,1) (VBP,1) (root,1) (VBD,1) (nsubj,1) (met,1) 
