zoomed/VBN	(VBN,1) (root,1) (zoomed,1) 
looked/VBN	(acl:relcl,1) (nmod:including,1) (VBN,2) (learned,1) (looked,1) (Krecher,1) (enjoy,1) (VB,1) (xcomp,1) (NNP,1) (scooped,1) (ccomp,1) (root,1) (VBD,1) 
put/VB	(root,1) (VB,1) (put,1) 
against/IN	(NN,1) (shield,1) (stopped,1) (IN,1) (against,1) (banging,1) (dep,1) (nmod:against,1) (ccomp,1) (root,1) (VBD,1) (VBG,2) (moving,1) (case,1) 
smiled/VBD	(smiled,1) (root,1) (VBD,1) 
guests/NNS	(NNS,1) (VBP,1) (root,1) (have,1) (guests,1) (dobj,1) 
looked/VBD	(looked,1) (root,1) (VBD,1) 
for/IN	(IN,1) (AND,1) (root,1) (me,1) (for,1) (nsubj,1) (case,1) (VBZ,1) (PRP,1) 
GRYFFINDOR/NN	(NN,1) (took,1) (root,1) (GRYFFINDOR,1) (VBD,1) (shouting,1) (decide,1) (advcl,2) (VBG,1) (VB,1) (dobj,1) 
cloak/NN	(NN,1) (ccomp,1) (asked,1) (cloak,1) (root,1) (pulling,1) (VBD,1) (VBG,1) (dobj,1) 
waiting/VBG	(ccomp,1) (waiting,1) (root,1) (VBD,1) (pinched,1) (VBG,1) (check,1) (VB,1) (xcomp,1) 
dossed/VBN	(VBN,1) (ccomp,1) (root,1) (VBD,1) (pinched,1) (check,1) (VB,1) (dossed,1) (xcomp,1) 
Mafalda/NNP	(NNP,2) (Use,1) (root,1) (Mafalda,1) (nsubj,1) (compound,1) (we,1) (PRP,1) 
Ministry/NNP	(NNP,2) (Ministry,1) (nmod:of,1) (Use,1) (root,1) (nsubj,1) (we,1) (PRP,1) 
Ron/NNP	(Ron,1) (NNP,1) (nmod:into,1) (root,1) (VBD,1) (ran,1) 
way/NN	(nodded,1) (NN,1) (root,1) (VBD,1) (dobj,1) (way,1) 
Fudge/NNP	(NNP,1) (Fudge,1) (asked,1) (root,1) (VBD,2) (helped,1) (advcl,1) (nsubj,1) 
Did/VBD	(VBN,1) (asked,1) (aux,1) (root,1) (VBD,3) (squished,1) (dep,2) (hurt,1) (Did,1) 
close/RB	(RB,1) (her,1) (root,1) (gave,1) (VBD,1) (close,1) (case,1) (PRP,1) (iobj,1) 
years/NNS	(acl:relcl,1) (NNP,1) (nmod:including,1) (NNS,1) (scooped,1) (VBN,1) (learned,1) (root,1) (VBD,1) (Krecher,1) (nmod:for,1) (years,1) 
Yeah/RB	(RB,1) (advmod,1) (root,1) (VBD,1) (Yeah,1) (ran,1) 
land/NN	(NN,1) (nmod:from,1) (root,1) (came,1) (VBD,1) (land,1) 
more/RBR	(advmod,1) (VBN,1) (RBR,1) (more,1) (root,1) (heard,1) 
common/JJ	(NN,2) (JJ,1) (nmod:in,1) (common,1) (root,1) (evening,1) (amod,1) (room,1) 
minutes/NNS	(watched,1) (NNS,1) (minutes,1) (root,1) (VBD,1) (nmod:for,1) 
distant/JJ	(NN,1) (JJ,1) (nmod:from,1) (root,1) (distant,1) (came,1) (VBD,1) (land,1) (amod,1) 
some/DT	(NN,1) (DT,1) (rest,1) (some,1) (det,1) (root,1) (go,1) (VB,1) (dobj,1) 
they/PRP	(threw,1) (root,1) (VBD,1) (advcl,1) (VB,1) (nsubj,1) (ran,1) (they,1) (PRP,1) 
out/RP	(found,1) (VBN,1) (compound:prt,1) (root,1) (RP,1) (out,1) 
