zoomed/VBN	(VBN,1) (root,1) (zoomed,1) 
figure/NN	(NN,1) (figure,1) (VBN,1) (root,1) (nsubj,1) (zoomed,1) 
'd/MD	(JJ,1) (aux,1) (root,1) (MD,1) (annoyed,1) ('d,1) 
grounds/NNS	(grounds,1) (making,1) (NNS,1) (root,1) (VBD,1) (nmod:to,1) (VBG,1) (said,1) (xcomp,1) 
admiring/VBG	(admiring,1) (root,1) (VBD,1) (VBG,1) (said,1) (xcomp,1) 
big/JJ	(NN,1) (JJ,1) (big,1) (root,1) (gave,1) (VBD,1) (hug,1) (dobj,1) (amod,1) 
needs/VBZ	(NN,1) (needs,1) (ccomp,2) (root,1) (VB,1) (put,1) (opinion,1) (VBZ,1) 
old/JJ	(JJ,1) (old,1) (root,1) (get,1) (go,1) (conj:and,1) (VB,2) (xcomp,1) 
pass/VB	(love,1) (move,1) (ccomp,1) (VBP,2) (pass,1) (root,1) (parataxis,1) (VB,1) 
annoying/JJ	(JJ,2) (old,1) (root,1) (get,1) (go,1) (conj:and,1) (VB,2) (xcomp,1) (annoying,1) (dep,1) 
imagine/VB	(nodded,1) (imagine,1) (ccomp,1) (root,1) (VBD,1) (VB,1) 
perfect/JJ	(NN,1) (JJ,1) (perfect,1) (root,1) (gave,1) (VBD,1) (hug,1) (dobj,1) (dep,1) 
tops/NNS	(JJ,1) (NNS,1) (root,1) (tops,1) (simmering,1) (VBG,1) (advcl,1) (hot,1) (nmod:on,1) 
enough/NN	(JJ,1) (NN,1) (NNS,1) (root,1) (simmering,1) (VBG,1) (advcl,1) (pots,1) (enough,1) (hot,1) (nsubj,1) (appos,1) 
as/IN	(as,1) (threw,1) (IN,1) (root,1) (VBD,1) (advcl,1) (VB,1) (ran,1) (mark,1) 
fan/NN	(NN,1) (fan,1) (root,1) 
need/VBP	(need,1) (VBP,1) (Get,1) (root,1) (advcl,1) (VB,1) 
traveller/NN	(NN,2) (nmod:in,1) (nmod:of,1) (root,1) (came,1) (VBD,1) (traveller,1) (pocket,1) 
arm/NN	(NN,1) (offered,1) (root,1) (VBD,1) (dobj,1) (arm,1) 
generous/JJ	(JJ,1) (scooped,1) (root,1) (generous,1) (VBD,1) (dobj,1) 
one/NN	(NN,1) (root,1) (one,1) (ripping,1) (VBG,1) (nsubj,1) 
want/VBP	(VBP,1) (want,1) (root,1) 
phone/NN	(listening,1) (NN,1) (VBN,1) (picked,1) (phone,1) (root,1) (VBG,1) (advcl,1) (dobj,1) 
Malfoys/NNPS	(NN,1) (root,1) (NNPS,1) (VBD,1) (minded,1) (Malfoys,1) (holiday,1) (dep,1) (xcomp,1) 
until/IN	(RB,1) (threw,1) (IN,1) (root,1) (VBD,1) (advcl,2) (until,1) (VB,1) (somewhere,1) (ran,1) (mark,1) 
AND/VBZ	(AND,1) (root,1) (VBZ,1) 
briefly/NN	(NN,1) (advmod,1) (NNS,1) (looked,1) (briefly,1) (root,1) (VBD,1) (robes,1) (dobj,1) 
Pansy/NNP	(NNP,1) (VBN,1) (nsubjpass,1) (Pansy,1) (root,1) (dressed,1) 
safe/JJ	(RB,1) (JJ,1) (advmod,1) (NNS,1) (children,1) (nmod:of,1) (root,1) (safe,1) (clearly,1) 
running/VBG	(NN,1) (running,1) (be,1) (cop,1) (root,1) (VBG,1) (evening,1) (VB,1) (xcomp,1) 
when/WRB	(advmod,1) (reminded,1) (went,1) (WRB,1) (root,1) (VBD,2) (advcl,1) (when,1) 
quietly/RB	(RB,1) (advmod,1) (root,1) (VBD,1) (nmod:to,1) (him,1) (ran,1) (PRP,1) (quietly,1) 
pinched/VBD	(root,1) (VBD,1) (pinched,1) 
both/DT	(DT,1) (root,1) (VBG,1) (plummeting,1) (dep,1) (both,1) 
glaring/VBG	(hissed,1) (glaring,1) (root,1) (VBD,1) (VBG,1) (xcomp,1) 
want/VB	(conj:but,1) (root,1) (want,1) (VBD,1) (know,1) (advcl,1) (blushed,1) (VB,2) 
cared/VBN	(NN,2) (VBN,1) (nmod:of,1) (appos,1) (dep,1) (NNP,1) (nmod:in,1) (cared,1) (root,1) (came,1) (VBD,1) (Hagrid,1) (traveller,1) (pocket,1) 
blushed/VBD	(root,1) (VBD,1) (blushed,1) 
names/NNS	(NN,1) (NNS,1) (names,1) (root,1) (list,1) (nsubj,1) 
Severus/NNS	(Severus,1) (NNS,1) (root,1) (gave,1) (VBD,1) (nsubj,1) 
meeting/NN	(NN,1) (root,1) (VBD,1) (had,1) (dobj,1) (meeting,1) 
thinking/VBG	(watched,1) (root,1) (VBD,1) (VBG,1) (advcl,1) (thinking,1) 
home/NN	(NN,1) (root,1) (get,1) (go,1) (conj:and,1) (VB,2) (dobj,1) (home,1) 
including/VBG	(NNP,1) (nmod:including,1) (scooped,1) (including,1) (root,1) (VBD,1) (Krecher,1) (VBG,1) (case,1) 
raised/VBN	(VBN,1) (ccomp,1) (root,1) (snapped,1) (raised,1) (VBD,1) 
sweets/NNS	(NNS,1) (VBN,1) (ccomp,1) (root,1) (beamed,1) (VBG,1) (sweets,1) (giving,1) (dobj,1) 
where/WRB	(JJ,1) (advmod,1) (sure,1) (WRB,1) (root,1) (VBD,1) (advcl,1) (where,1) (got,1) 
much/JJ	(NN,1) (acl:relcl,1) (JJ,1) (think,1) (means,1) (VBN,1) (VB,1) (done,1) (VBZ,1) (advmod,1) (nmod:after,1) (root,1) (advcl,1) (everything,1) (much,1) 
that/IN	(that,1) (IN,1) (root,1) (VBD,1) (had,1) (mark,1) 
said/VBD	(root,1) (VBD,1) (said,1) 
laughed/VBN	(NNP,1) (VBN,1) (root,1) (laughed,1) (VBD,1) (had,1) (acl,1) (nsubj,1) (Vernon,1) 
Krum/NNP	(NNP,1) (root,1) (VBG,1) (plummeting,1) (Krum,1) (nsubj,1) 
Harry/NNP	(NNP,1) (asked,1) (Harry,1) (root,1) (VBD,1) (nsubj,1) 
called/VBD	(called,1) (root,1) (VBD,1) 
off/RP	(reminded,1) (went,1) (compound:prt,1) (root,1) (VBD,2) (advcl,1) (off,1) (RP,1) 
scar/NN	(NN,1) (smiled,1) (scar,1) (root,1) (VBD,1) (VBG,1) (dobj,1) (xcomp,1) (rubbing,1) 
Gemini/NNP	(NN,1) (NNP,1) (root,1) (list,1) (nsubj,1) (Gemini,1) 
time/NN	(NN,1) (ccomp,1) (root,1) (comes,1) (VBD,1) (time,1) (said,1) (nsubj,1) (VBZ,1) 
religious/JJ	(JJ,1) (religious,1) (VBN,1) (snapped,1) (raised,1) (ostentatious,1) (nmod:for,1) (amod,1) (ceremonies,1) (NNS,2) (ccomp,2) (root,1) (VBD,1) 
squawked/VBD	(squawked,1) (root,1) (VBD,1) 
parents/NNS	(JJ,1) (nmod:from,1) (NNS,1) (sure,1) (root,1) (VBD,1) (advcl,1) (got,1) (parents,1) 
Bertha/NNP	(NNP,1) (found,1) (VBN,1) (nmod:about,1) (root,1) (NNPS,1) (Bertha,1) (compound,1) (Jorkins,1) 
scooped/VBD	(scooped,1) (root,1) (VBD,1) 
smirked/VBD	(root,1) (VBD,1) (smirked,1) 
We/PRP	(VBP,1) (want,1) (root,1) (nsubj,1) (We,1) (PRP,1) 
since/IN	(NN,1) (happier,1) (JJR,1) (IN,1) (root,1) (gave,1) (VBD,1) (advcl,1) (conj:and,1) (life,1) (mark,1) (since,1) 
rubbing/VBG	(smiled,1) (root,1) (VBD,1) (VBG,1) (xcomp,1) (rubbing,1) 
Howard/NNP	(trust,1) (NNP,1) (ccomp,1) (Howard,1) (VBP,1) (root,1) (VBG,1) (nsubj,1) (treating,1) 
tight/JJ	(NN,1) (JJ,1) (root,1) (gave,1) (VBD,1) (hug,1) (dobj,1) (amod,1) (tight,1) 
after/IN	(NN,1) (think,1) (nmod:after,1) (IN,1) (root,1) (after,1) (VB,1) (everything,1) (case,1) 
Bellatrix/NNP	(NNP,1) (root,1) (swept,1) (VBD,1) (nsubj,1) (Bellatrix,1) 
stepped/VBD	(stepped,1) (moved,1) (root,1) (VBD,2) (conj:and,1) 
couple/NN	(NN,2) (couple,1) (nummod,1) (root,1) (list,1) 
dinner/NN	(NN,3) (nmod:about,1) (Get,1) (root,1) (VB,1) (dobj,1) (dinner,1) (compound,1) (something,1) (party,1) 
making/VBG	(making,1) (root,1) (VBD,1) (VBG,1) (said,1) (xcomp,1) 
putting/VBG	(asked,1) (putting,1) (root,1) (VBD,1) (VBG,1) (xcomp,1) 
list/NN	(NN,1) (root,1) (list,1) 
hair/NN	(silk,1) (NN,3) (falling,1) (VBN,1) (nmod:of,1) (nmod:around,1) (dressed,1) (acl,1) (appos,2) (NNS,2) (skirts,1) (hair,1) (nmod:in,1) (root,1) (dresses,1) (chairs,1) (VBG,1) 
large/JJ	(JJ,1) (see,1) (NNS,1) (VBN,1) (large,1) (nmod:with,1) (root,1) (parataxis,1) (VB,1) (amod,1) (zoomed,1) (eyes,1) 
it/PRP	(reminded,1) (root,1) (VBD,1) (it,1) (nsubj,1) (PRP,1) 
warm/JJ	(JJ,1) (warm,1) (ccomp,1) (root,1) (VBD,1) (said,1) 
praise/NN	(NN,1) (VBN,1) (ccomp,1) (root,1) (beamed,1) (VBG,1) (giving,1) (dobj,1) (praise,1) 
Petunia/NNP	(NNP,1) (VBN,1) (Petunia,1) (root,1) (rung,1) (nsubj,1) 
coming/VBG	(NN,1) (root,1) (VBD,1) (had,1) (VBG,1) (acl,1) (dobj,1) (meeting,1) (coming,1) 
of/IN	(NN,1) (NNS,1) (IN,1) (root,1) (of,1) (students,1) (evening,1) (nsubj,1) (case,1) 
Dudley/NNP	(squawked,1) (conj:but,1) (NNP,1) (VBN,1) (Dudley,1) (nmod:with,1) (root,1) (VBD,1) (distracted,1) 
'm/VBP	(JJ,1) (sure,1) (VBP,1) (cop,1) ('m,1) (root,1) 
them/PRP	(nodded,1) (NN,1) (RB,1) (advmod,1) (far,1) (root,1) (VBD,1) (them,1) (nmod:below,1) (dobj,1) (way,1) (PRP,1) 
think/VBP	(think,1) (ccomp,1) (VBP,1) (root,1) (VB,1) (put,1) 
round/NN	(JJ,1) (NN,1) (VBN,1) (round,1) (root,1) (annoyed,1) (advcl,1) (dobj,1) (happened,1) 
He/PRP	(root,1) (VBD,1) (nsubj,1) (He,1) (ran,1) (PRP,1) 
on/RP	(move,1) (compound:prt,1) (VBP,1) (moves,1) (root,1) (advcl,1) (RP,1) (VBZ,1) (on,1) 
shouldn/VBP	(VBP,1) (root,1) (shouldn,1) 
pale/JJ	(JJ,1) (see,1) (NNS,1) (VBN,1) (nmod:with,1) (root,1) (parataxis,1) (VB,1) (amod,1) (zoomed,1) (eyes,1) (pale,1) 
she/PRP	(she,1) (root,1) (VBD,1) (said,1) (nsubj,1) (PRP,1) 
heading/VBG	(called,1) (heading,1) (root,1) (VBD,1) (VBG,1) (advcl,1) 
dressed/VBN	(VBN,1) (root,1) (dressed,1) 
useless/JJ	(JJ,1) (ccomp,1) (root,1) (useless,1) (VBD,1) (said,1) 
school/NN	(NN,2) (move,1) (VBP,1) (year,1) (school,1) (moves,1) (root,1) (advcl,1) (nsubj,1) (compound,1) (VBZ,1) 
's/POS	(POS,1) (root,1) (get,1) (go,1) (conj:and,1) (VB,2) ('s,1) (nsubj,1) 
hand/NN	(NN,1) (shook,1) (root,1) (swept,1) (VBD,2) (conj:and,1) (dobj,1) (hand,1) 
along/RP	(NN,1) (running,1) (be,1) (compound:prt,1) (along,1) (cop,1) (root,1) (VBG,1) (evening,1) (VB,1) (xcomp,1) (RP,1) 
cupcake/NN	(NN,1) (root,1) (VBD,1) (dobj,1) (put,1) (cupcake,1) 
Uncle/NNP	(NNP,2) (Uncle,1) (root,1) (VBD,1) (had,1) (nsubj,1) (compound,1) (Vernon,1) 
floor/NN	(NN,1) (root,1) (floor,1) 
nastily/RB	(RB,1) (NNP,1) (advmod,1) (VBN,1) (root,1) (laughed,1) (VBD,1) (had,1) (acl,1) (nsubj,1) (nastily,1) (Vernon,1) 
me/PRP	(AND,1) (root,1) (me,1) (nsubj,1) (VBZ,1) (PRP,1) 
done/VBN	(NN,1) (acl:relcl,1) (think,1) (VBN,1) (nmod:after,1) (root,1) (VB,1) (everything,1) (done,1) 
The/DT	(The,1) (DT,1) (took,1) (NNP,1) (det,1) (root,1) (VBD,1) (Hat,1) (nsubj,1) 
wing/NN	(NN,2) (NNP,1) (root,1) (nmod:to,1) (Potter,1) (floor,1) (nsubj,1) (wing,1) 
who/WP	(NNP,1) (ref,1) (offered,1) (root,1) (VBD,1) (Maxime,1) (nmod:to,1) (WP,1) (who,1) 
Grangers/NNPS	(JJ,1) (pulled,1) (root,1) (NNPS,1) (VBD,1) (Grangers,1) (advcl,1) (nsubj,1) (long,1) 
egg/NN	(NN,3) (hatched,1) (VBN,1) (egg,1) (nmod:of,1) (appos,1) (dep,1) (NNP,1) (nmod:from,1) (nmod:in,1) (root,1) (came,1) (VBD,1) (Hagrid,1) (traveller,1) (pocket,1) 
Thankfully/RB	(NN,1) (Thankfully,1) (RB,1) (advmod,1) (root,1) (list,1) 
Dobby/NNP	(NNP,1) (root,1) (VBD,1) (said,1) (Dobby,1) (nsubj,1) 
platform/NN	(nodded,1) (NN,1) (nmod:onto,1) (made,1) (root,1) (VBD,2) (conj:and,1) (platform,1) 
like/VB	(conj:but,1) (like,1) (root,1) (VBD,1) (said,1) (VB,1) 
students/NNS	(NN,1) (NNS,1) (root,1) (students,1) (evening,1) (nsubj,1) 
already/RB	(RB,1) (advmod,1) (found,1) (VBN,1) (already,1) (root,1) 
Well/RB	(RB,1) (NNP,1) (VBN,1) (root,1) (Well,1) (laughed,1) (VBD,1) (had,1) (advcl,1) (acl,1) (nsubj,1) (Vernon,1) 
summer/NN	(NN,2) (root,1) (holiday,1) (compound,1) (summer,1) 
move/VBP	(move,1) (VBP,1) (root,1) 
giving/VBG	(VBN,1) (ccomp,1) (root,1) (beamed,1) (VBG,1) (giving,1) 
helped/VBD	(asked,1) (root,1) (VBD,2) (helped,1) (advcl,1) 
knew/VBD	(JJ,1) (sure,1) (root,1) (knew,1) (VBD,2) (advcl,2) (got,1) 
identical/JJ	(identical,1) (JJ,1) (NNS,1) (root,1) (gave,1) (VBD,1) (snots,1) (dobj,1) (amod,1) 
Narcissa/NNP	(NNP,1) (root,1) (VBD,1) (Narcissa,1) (had,1) (nsubj,1) 
or/CC	(CC,1) (cc,1) (CD,1) (or,1) (VBP,1) (root,1) (one,1) (ask,1) (dobj,1) 
struggling/VBG	(root,1) (gave,1) (VBD,1) (struggling,1) (VBG,1) (dobj,1) 
better/JJR	(JJ,1) (better,1) (sure,1) (JJR,1) (root,1) (VBD,1) (advcl,1) (dobj,1) (got,1) 
hospital/NN	(NN,3) (NNP,1) (root,1) (nmod:to,1) (Potter,1) (floor,1) (nsubj,1) (wing,1) (hospital,1) (compound,1) 
about/IN	(found,1) (VBN,1) (IN,1) (nmod:about,1) (root,1) (NNPS,1) (about,1) (case,1) (Jorkins,1) 
year/NN	(NN,1) (move,1) (VBP,1) (year,1) (moves,1) (root,1) (advcl,1) (nsubj,1) (VBZ,1) 
below/IN	(nodded,1) (NN,1) (below,1) (IN,1) (them,1) (way,1) (PRP,1) (RB,1) (advmod,1) (far,1) (root,1) (VBD,1) (nmod:below,1) (dobj,1) (case,1) 
always/RB	(love,1) (always,1) (RB,1) (advmod,1) (move,1) (ccomp,1) (VBP,2) (pass,1) (root,1) (parataxis,1) (VB,1) 
this/DT	(DT,1) (root,1) (this,1) (is,1) (nsubj,1) (VBZ,1) 
little/JJ	(NN,1) (JJ,1) (root,1) (VBD,1) (dobj,1) (amod,1) (put,1) (cupcake,1) (little,1) 
aching/JJ	(NN,1) (JJ,1) (smiled,1) (scar,1) (aching,1) (root,1) (VBD,1) (VBG,1) (dobj,1) (amod,1) (xcomp,1) (rubbing,1) 
There/EX	(expl,1) (EX,1) (There,1) (were,1) (root,1) (VBD,1) 
bath/NN	(NN,1) (called,1) (heading,1) (root,1) (VBD,1) (VBG,1) (advcl,1) (nmod:for,1) (bath,1) 
pitch/NN	(NN,1) (VBN,1) (nmod:onto,1) (root,1) (pitch,1) (zoomed,1) 
door/NN	(nodded,1) (NN,2) (door,1) (root,1) (VBD,1) (dobj,1) (compound,1) (way,1) 
last/JJ	(acl:relcl,1) (JJ,1) (nmod:including,1) (VBN,1) (last,1) (learned,1) (Krecher,1) (nmod:for,1) (amod,1) (years,1) (NNP,1) (NNS,1) (scooped,1) (root,1) (VBD,1) 
snapped/VBD	(root,1) (snapped,1) (VBD,1) 
moved/VBD	(moved,1) (root,1) (VBD,1) 
be/VB	(NN,1) (be,1) (cop,1) (root,1) (evening,1) (VB,1) 
long/RB	(RB,1) (advmod,1) (are,1) (VBP,1) (aux,1) (root,1) (ripping,1) (VBG,1) (long,1) 
Aurors/NNS	(NN,1) (needs,1) (Aurors,1) (VB,2) (put,1) (xcomp,1) (opinion,1) (VBZ,1) (NNS,1) (ccomp,2) (root,1) (place,1) (dobj,1) 
'/POS	(VBN,1) (ccomp,1) (VBP,1) (told,1) (POS,1) (root,1) (',1) (shouldn,1) (nsubj,1) 
banging/VBG	(stopped,1) (ccomp,1) (root,1) (VBD,1) (VBG,2) (moving,1) (banging,1) (dep,1) 
learned/VBN	(acl:relcl,1) (NNP,1) (nmod:including,1) (scooped,1) (VBN,1) (learned,1) (root,1) (VBD,1) (Krecher,1) 
Office/NNP	(Office,1) (NNP,3) (Ministry,1) (nmod:of,1) (Use,1) (root,1) (nsubj,1) (compound,1) (we,1) (PRP,1) 
their/PRP$	(RB,1) (NNS,1) (PRP$,1) (nmod:poss,1) (children,1) (nmod:of,1) (root,1) (their,1) (clearly,1) 
rub/NN	(NN,1) (root,1) (gave,1) (VBD,1) (dobj,1) (rub,1) 
house/NN	(NN,1) (broke,1) (nmod:into,1) (root,1) (VBD,2) (advcl,1) (house,1) (put,1) 
place/VB	(NN,1) (needs,1) (ccomp,2) (root,1) (place,1) (VB,2) (put,1) (xcomp,1) (opinion,1) (VBZ,1) 
job/NN	(acl:relcl,1) (NN,1) (nmod:including,1) (VBN,1) (learned,1) (Krecher,1) (enjoy,1) (feeling,1) (VB,1) (xcomp,1) (NNP,1) (scooped,1) (ccomp,2) (root,1) (VBD,1) (VBG,1) (job,1) 
Hogwarts/NNP	(Hogwarts,1) (NNP,1) (reminded,1) (went,1) (root,1) (VBD,2) (nmod:to,1) (advcl,1) 
thoughts/NNS	(thoughts,1) (forcing,1) (NNS,1) (root,1) (VBD,1) (VBG,1) (said,1) (dobj,1) (xcomp,1) 
Potter/NNP	(NN,1) (NNP,1) (root,1) (Potter,1) (floor,1) (nsubj,1) 
Mrs/NNP	(NNP,2) (Weasley,1) (root,1) (VBD,1) (let,1) (nsubj,1) (compound,1) (Mrs,1) 
kicked/VBN	(NNP,1) (VBN,2) (root,1) (laughed,1) (VBD,1) (kicked,1) (had,1) (acl,1) (nsubj,1) (xcomp,1) (Vernon,1) 
headed/VBD	(wanted,1) (root,1) (VBD,2) (advcl,1) (headed,1) 
Mr/NNP	(NN,1) (NNP,2) (Mr,1) (root,1) (Potter,1) (floor,1) (nsubj,1) (compound,1) 
check/VB	(root,1) (VBD,1) (pinched,1) (check,1) (VB,1) (xcomp,1) 
Danica/NNP	(NNP,2) (Danica,1) (asked,1) (Harry,1) (root,1) (VBD,1) (conj:and,1) (nsubj,1) 
six/CD	(NN,2) (CD,1) (nmod:in,1) (six,1) (nmod:by,1) (root,1) (evening,1) (room,1) 
sitting/VBG	(ccomp,1) (asked,1) (root,1) (VBD,1) (VBG,1) (sitting,1) 
well/RB	(RB,2) (advmod,2) (found,1) (VBN,1) (root,1) (well,1) (so,1) 
attention/NN	(JJ,1) (NN,2) (nmod:of,1) (root,1) (centre,1) (attention,1) (fun,1) (xcomp,1) 
swept/VBD	(root,1) (swept,1) (VBD,1) 
And/CC	(CC,1) (cc,1) (reminded,1) (And,1) (root,1) (VBD,1) 
darting/VBG	(squawked,1) (darting,1) (root,1) (VBD,1) (VBG,1) (dep,1) 
if/IN	(VBP,1) (IN,1) (want,1) (root,1) (VB,1) (if,1) (xcomp,1) (mark,1) (stay,1) 
sincerely/RB	(RB,1) (sincerely,1) (advmod,1) (root,1) (we,1) (PRP,1) 
recognised/VBD	(RB,1) (acl:relcl,1) (recognised,1) (threw,1) (root,1) (VBD,2) (advcl,2) (VB,1) (somewhere,1) (ran,1) 
Piers/NNP	(squawked,1) (darting,1) (NNP,1) (nmod:towards,1) (Piers,1) (root,1) (VBD,1) (VBG,1) (dep,1) 
colour/NN	(NN,1) (NNS,1) (colour,1) (VBN,1) (ccomp,2) (root,1) (snapped,1) (raised,1) (VBD,1) (ostentatious,1) (nsubj,1) 
Mother/NN	(NN,2) (fan,1) (Mother,1) (root,1) (nsubj,1) 
squished/VBD	(asked,1) (root,1) (VBD,2) (squished,1) (dep,1) 
Come/VB	(Come,1) (root,1) (assured,1) (VBD,1) (VB,1) (dep,1) 
other/JJ	(NN,2) (JJ,1) (side,1) (other,1) (root,1) (VBD,1) (amod,1) (nmod:on,1) (compound,1) (put,1) (table,1) 
those/DT	(love,1) (DT,1) (move,1) (ccomp,1) (VBP,3) (watch,1) (root,1) (parataxis,1) (nsubj,1) (those,1) 
that/DT	(DT,1) (NNP,1) (that,1) (det,1) (asked,1) (Harry,1) (root,1) (VBD,1) (nsubj,1) 
wanted/VBD	(wanted,1) (root,1) (VBD,1) 
closed/VBD	(root,1) (closed,1) (VBD,1) 
Jorkins/NNPS	(found,1) (VBN,1) (nmod:about,1) (root,1) (NNPS,1) (Jorkins,1) 
snowflake/NN	(NN,2) (acl:relcl,1) (think,1) (snowflake,1) (VBN,1) (nmod:with,1) (pins,1) (VB,1) (done,1) (compound,1) (NNS,1) (nmod:after,1) (root,1) (everything,1) 
shouting/VBG	(took,1) (root,1) (VBD,1) (shouting,1) (decide,1) (advcl,2) (VBG,1) (VB,1) 
Lily/NNP	(NNP,1) (VBN,1) (root,1) (rung,1) (dobj,1) (Lily,1) 
clad/NN	(NN,2) (figure,1) (clad,1) (VBN,1) (root,1) (nsubj,1) (zoomed,1) (compound,1) 
To/TO	(NN,2) (root,1) (start,1) (nmod:to,1) (To,1) (TO,1) (floor,1) (case,1) 
hatched/VBN	(NN,2) (hatched,1) (VBN,1) (nmod:of,1) (appos,1) (dep,1) (NNP,1) (nmod:in,1) (root,1) (came,1) (VBD,1) (Hagrid,1) (traveller,1) (pocket,1) 
thankfully/RB	(RB,1) (squawked,1) (conj:but,1) (advmod,1) (VBN,1) (root,1) (VBD,1) (distracted,1) (thankfully,1) 
only/RB	(JJ,1) (RB,1) (advmod,1) (watched,1) (NNS,1) (minutes,1) (root,1) (only,1) (VBD,1) (few,1) (nmod:for,1) (amod,1) 
felt/VBD	(were,1) (root,1) (felt,1) (VBD,2) (conj:and,1) 
put/VBD	(root,1) (VBD,1) (put,1) 
half/DT	(nodded,1) (NN,1) (DT,1) (det,1) (half,1) (root,1) (VBD,1) (dobj,1) (way,1) 
decide/VB	(took,1) (root,1) (VBD,1) (decide,1) (advcl,1) (VB,1) 
older/JJR	(NN,1) (NNS,1) (JJR,1) (root,1) (students,1) (older,1) (evening,1) (nsubj,1) (amod,1) 
moves/VBZ	(move,1) (VBP,1) (moves,1) (root,1) (advcl,1) (VBZ,1) 
Get/VB	(Get,1) (root,1) (VB,1) 
heard/VBN	(VBN,1) (root,1) (heard,1) 
your/PRP$	(NN,1) (nmod:in,1) (PRP$,1) (nmod:poss,1) (root,1) (name,1) (your,1) (VB,1) (put,1) 
happened/VBN	(JJ,1) (VBN,1) (root,1) (annoyed,1) (advcl,1) (happened,1) 
clearly/RB	(RB,1) (root,1) (clearly,1) 
All/DT	(NN,1) (All,1) (DT,1) (NNS,1) (det,1) (root,1) (students,1) (evening,1) (nsubj,1) 
watch/VBP	(love,1) (move,1) (ccomp,1) (VBP,3) (watch,1) (root,1) (parataxis,1) 
Davis/NNP	(NNP,1) (asked,1) (root,1) (VBD,1) (nsubj,1) (Davis,1) 
love/VBP	(love,1) (move,1) (VBP,2) (root,1) (parataxis,1) 
let/VBD	(root,1) (VBD,1) (let,1) 
Maxime/NNP	(NNP,1) (offered,1) (root,1) (VBD,1) (Maxime,1) (nmod:to,1) 
tears/NNS	(NNS,1) (tears,1) (were,1) (root,1) (VBD,1) (nsubj,1) 
take/VB	(JJ,1) (take,1) (conj:but,1) (root,1) (VB,1) (fun,1) 
behind/IN	(behind,1) (IN,1) (root,1) (VBD,1) (nmod:to,1) (him,1) (ran,1) (case,1) (PRP,1) 
opinion/NN	(NN,1) (ccomp,1) (root,1) (VB,1) (put,1) (opinion,1) 
all/PDT	(NN,1) (acl:relcl,1) (JJ,1) (all,1) (think,1) (means,1) (PDT,1) (VBN,1) (VB,1) (done,1) (dep,1) (VBZ,1) (advmod,1) (nmod:after,1) (root,1) (advcl,1) (everything,1) (much,1) 
Sally/NNP	(trust,1) (NNP,1) (ccomp,1) (Sally,1) (VBP,1) (root,1) (VBG,1) (nsubj,1) (treating,1) 
simmering/VBG	(JJ,1) (root,1) (simmering,1) (VBG,1) (advcl,1) (hot,1) 
suggest/VBP	(VBP,1) (root,1) (VBD,1) (parataxis,1) (suggest,1) (said,1) 
my/PRP$	(NN,1) (ccomp,1) (PRP$,1) (nmod:poss,1) (root,1) (VB,1) (my,1) (put,1) (opinion,1) 
excuse/NN	(NN,1) (nmod:at,1) (excuse,1) (root,1) (gave,1) (VBD,1) 
comes/VBZ	(ccomp,1) (root,1) (comes,1) (VBD,1) (said,1) (VBZ,1) 
Lynch/NNP	(Lynch,1) (NNP,1) (root,1) (VBG,1) (plummeting,1) (nsubj,1) 
hug/NN	(NN,1) (root,1) (gave,1) (VBD,1) (hug,1) (dobj,1) 
shiny/JJ	(NN,1) (JJ,1) (admiring,1) (root,1) (VBD,1) (VBG,1) (shiny,1) (said,1) (dobj,1) (amod,1) (xcomp,1) (kettle,1) 
know/VB	(conj:but,1) (root,1) (VBD,1) (know,1) (blushed,1) (VB,1) 
feeling/VBG	(acl:relcl,1) (nmod:including,1) (VBN,1) (learned,1) (Krecher,1) (enjoy,1) (feeling,1) (VB,1) (xcomp,1) (NNP,1) (scooped,1) (ccomp,1) (root,1) (VBD,1) (VBG,1) 
all/RB	(RB,2) (all,1) (advmod,1) (root,1) (clearly,1) 
pang/NN	(NN,1) (were,1) (root,1) (felt,1) (VBD,2) (conj:and,1) (dobj,1) (pang,1) 
aside/RB	(RB,1) (advmod,1) (aside,1) (moved,1) (root,1) (VBD,1) 
Neville/NNP	(NNP,1) (Neville,1) (root,1) (VBD,1) (said,1) (nsubj,1) 
stairs/NNS	(stepped,1) (NNS,1) (moved,1) (root,1) (stairs,1) (VBD,2) (conj:and,1) (nmod:on,1) 
'd/VBD	(listening,1) (VBN,1) (picked,1) (aux,1) (root,1) (VBD,1) (VBG,1) (advcl,1) ('d,1) 
If/IN	(JJ,1) (VBN,1) (IN,1) (root,1) (annoyed,1) (advcl,1) (If,1) (happened,1) (mark,1) 
skirts/NN	(silk,1) (NN,2) (NNS,1) (skirts,1) (VBN,1) (nmod:in,1) (nmod:of,1) (root,1) (dresses,1) (dressed,1) (appos,1) 
loves/VBZ	(ccomp,1) (root,1) (loves,1) (VBD,1) (said,1) (VBZ,1) 
Vernon/NNP	(NNP,1) (root,1) (VBD,1) (had,1) (nsubj,1) (Vernon,1) 
silk/NN	(silk,1) (NN,1) (NNS,1) (VBN,1) (nmod:in,1) (root,1) (dresses,1) (dressed,1) (appos,1) 
than/IN	(RB,1) (advmod,1) (asked,1) (rather,1) (IN,1) (root,1) (than,1) (VBD,2) (mwe,1) (squished,1) (dep,1) 
fast/RB	(RB,1) (advmod,1) (fast,1) (root,1) (VBD,1) (ran,1) 
