reviews/NNS	(RB,1) (advmod,1) (:--RRB-,1) (NNS,1) (reviews,1) (root,1) (thank,1) (VBD,1) (advcl,1) (VB,1) (nsubj,1) (much,1) 
whiff/NN	(NN,1) (blew,1) (whiff,1) (root,1) (VBD,1) (nsubj,1) 
prayed/JJ	(JJ,1) (stopped,1) (root,1) (VBD,1) (prayed,1) (nsubj,1) (amod,1) (he,1) (PRP,1) 
several/JJ	(JJ,1) (recovered,1) (NNS,1) (root,1) (several,1) (VBD,1) (days,1) (amod,1) (nmod:over,1) 
friends/NNS	(NNP,1) (NNS,1) (Hermione,1) (root,1) (go,1) (nmod:to,1) (parataxis,1) (VB,1) (friends,1) 
soon/RB	(JJ,1) (RB,1) (advmod,1) (fine,1) (root,1) (soon,1) 
will/MD	(will,1) (aux,1) (root,1) (MD,1) (thank,1) (VB,1) 
thank/VB	(root,1) (thank,1) (VB,1) 
back/NN	(NN,1) (root,1) (thank,1) (back,1) (VB,1) (nsubj,1) 
as/RB	(RB,2) (advmod,2) (as,1) (went,1) (fast,1) (root,1) (VBD,1) 
What/WP	(JJ,1) (NN,1) (det,1) (root,1) (WP,1) (nsubj,1) (hell,1) (What,1) (wrong,1) 
same/JJ	(JJ,2) (same,1) (ccomp,1) (fine,1) (VBP,1) (root,1) (promise,1) (conj:and,1) 
her/PRP	(blew,1) (her,1) (root,1) (VBD,1) (nmod:to,1) (PRP,1) 
dropped/VBD	(JJ,1) (NNP,1) (Hermione,1) (root,1) (dropped,1) (VBD,1) (insane,1) (parataxis,2) 
n't/RB	(RB,1) (neg,1) (get,1) (root,1) (n't,1) (VB,1) 
Did/MD	(aux,1) (get,1) (root,1) (MD,1) (VB,1) (Did,1) 
mean/VBP	(magic,1) (JJ,1) (VBP,1) (mean,1) (root,1) (dep,1) 
outside/IN	(RB,1) (advmod,1) (went,1) (fast,1) (IN,1) (outside,1) (root,1) (VBD,1) (case,1) 
met/VBD	(root,1) (VBD,1) (met,1) 
It/PRP	(RB,1) (NN,1) (JJ,1) (root,1) (parataxis,1) (It,1) (So,1) (evening,1) (amod,1) (nsubj,1) (nice,1) (PRP,1) 
beginning/NN	(JJ,1) (NN,1) (ccomp,1) (nmod:in,1) (beginning,1) (VBP,1) (root,1) (know,1) (seems,1) (odd,1) (xcomp,1) (VBZ,1) 
few/JJ	(JJ,1) (recovered,1) (NNS,1) (root,1) (VBD,1) (days,1) (few,1) (amod,1) (nmod:over,1) 
They/PRP	(JJ,1) (NNP,1) (walked,1) (Hermione,1) (root,1) (VBD,1) (insane,1) (parataxis,2) (nsubj,1) (They,1) (PRP,1) 
gave/VBD	(went,1) (root,1) (VBD,2) (gave,1) (conj:and,1) 
days/NNS	(recovered,1) (NNS,1) (root,1) (VBD,1) (days,1) (nmod:over,1) 
ground/NN	(JJ,1) (NN,1) (NNP,1) (Hermione,1) (root,1) (dropped,1) (VBD,1) (nmod:to,1) (insane,1) (parataxis,2) (ground,1) 
stay/VB	(NN,1) (get,1) (root,1) (acl,1) (VB,2) (dobj,1) (order,1) (stay,1) 
mere/JJ	(JJ,1) (blew,1) (seconds,1) (NNS,1) (her,1) (root,1) (mere,1) (VBD,1) (nmod:to,1) (conj:and,1) (amod,1) (PRP,1) 
a/DT	(NN,1) (DT,1) (a,1) (det,1) (VBP,1) (girldfriend,1) (root,1) (have,1) (dobj,1) 
down/RP	(took,1) (compound:prt,1) (root,1) (sat,1) (VBD,2) (conj:and,1) (down,1) (RP,1) 
fresh/JJ	(JJ,1) (took,1) (NNS,1) (root,1) (VBD,1) (dobj,1) (fresh,1) (amod,1) (clothes,1) 
conscious/JJ	(JJ,1) (became,1) (blinked,1) (root,1) (VBD,2) (conj:and,1) (conscious,1) (xcomp,1) 
mouth/NN	(NN,2) (nmod:of,1) (knew,1) (compound,1) (unintentionally,1) (ccomp,1) (mouth,1) (embarrassing,1) (root,1) (came,1) (VBD,2) (VBG,1) (advcl,1) 
play/NN	(play,1) (NN,1) (ccomp,1) (VBN,1) (VBP,1) (root,1) (know,1) (nmod:like,1) (advcl,1) (written,1) (seems,1) (VBZ,1) 
mum/NN	(NN,1) (VBN,1) (mum,1) (root,1) (insisted,1) (nsubj,1) 
not/RB	(JJ,1) (RB,1) (NNP,1) (neg,1) (not,1) (Hermione,1) (root,1) (parataxis,1) (possible,1) 
Mr./NNP	(NNP,3) (Weasley,1) (Parvati,1) (root,1) (Mr.,1) (parataxis,1) (compound,1) 
go/VB	(NNP,1) (Hermione,1) (root,1) (go,1) (parataxis,1) (VB,1) 
then/RB	(RB,1) (NNP,1) (advmod,1) (Hermione,1) (root,1) (go,1) (parataxis,1) (then,1) (VB,1) 
Ron/VBG	(Ron,1) (NNP,1) (root,1) (VBG,1) (Ginny,1) (dep,1) 
okay/RB	(NN,1) (okay,1) (RB,1) (NNP,1) (Hermione,1) (root,1) (nobody,1) (dep,2) 
lip/NN	(NN,1) (lip,1) (root,1) (VBD,1) (bit,1) (dobj,1) 
sometimes/RB	(JJ,1) (RB,1) (advmod,1) (root,1) (sometimes,1) (scary,1) 
like/IN	(JJ,1) (like,1) (IN,1) (root,1) (brash,1) (mark,1) 
hide/VB	(NN,1) (hide,1) (ccomp,1) (knew,1) (root,1) (nothing,1) (was,1) (VBD,2) (VB,1) (xcomp,2) 
chance/NN	(NN,1) (chance,1) (root,1) (have,1) (VB,1) (dobj,1) 
cleared/VBD	(root,1) (VBD,2) (blushed,1) (conj:and,1) (cleared,1) 
kitchen/NN	(NN,1) (nmod:into,1) (root,1) (disappeared,1) (VBD,1) (kitchen,1) 
stopped/VBD	(stopped,1) (root,1) (VBD,1) 
Go/VB	(csubj,1) (VBP,1) (Hermione,1) (root,1) (Go,1) (VB,1) 
have/VB	(root,1) (have,1) (VB,1) 
came/VBD	(ccomp,1) (embarrassing,1) (knew,1) (root,1) (came,1) (VBD,2) (VBG,1) (advcl,1) 
at/IN	(Ron,1) (NNP,1) (at,1) (IN,1) (root,1) (case,1) 
brash/JJ	(JJ,1) (root,1) (brash,1) 
eh/NNP	(Ron,1) (NNP,2) (eh,1) (root,1) (dep,1) 
squeaked/VBD	(startled,1) (root,1) (VBD,2) (conj:and,1) (squeaked,1) 
Should/NNP	(NNP,1) (Should,1) (fetch,1) (root,1) (VB,1) (dep,1) 
insisted/VBN	(VBN,1) (root,1) (insisted,1) 
With/IN	(NNS,1) (thought,1) (IN,1) (nmod:about,1) (root,1) (words,1) (VBD,1) (case,1) (With,1) 
idea/NN	(JJ,1) (NN,1) (old,1) (idea,1) (root,1) (know,1) (advcl,1) (conj:and,1) (VB,1) 
Hermione/VBP	(VBP,1) (Hermione,1) (root,1) 
on/IN	(NN,1) (face,1) (IN,1) (root,1) (buried,1) (VBD,1) (dobj,1) (case,1) (on,1) 
Molly/NNP	(NNP,1) (smiled,1) (Molly,1) (root,1) (VBD,1) (nsubj,1) 
man/NN	(NN,1) (named,1) (root,1) (VBD,1) (man,1) (nsubj,1) 
:--RRB-/VBD	(RB,1) (advmod,1) (:--RRB-,1) (root,1) (thank,1) (VBD,1) (advcl,1) (VB,1) (much,1) 
When/WRB	(advmod,1) (touched,1) (When,1) (startled,1) (WRB,1) (root,1) (VBD,2) (advcl,1) 
ceiling/NN	(NN,1) (ceiling,1) (nmod:at,1) (root,1) (VBD,1) (stared,1) 
shirt/NN	(JJ,1) (NN,1) (ccomp,1) (shirt,1) (looked,1) (root,1) (noticed,1) (wet,1) (VBD,2) (conj:and,1) (nsubj,1) 
work/VBP	(Ron,1) (NNP,1) (VBP,1) (work,1) (root,1) (parataxis,1) 
our/PRP$	(NN,1) (ccomp,1) (PRP$,1) (nmod:poss,1) (VBP,1) (root,1) (know,1) (style,1) (nsubj,1) (seems,1) (our,1) (VBZ,1) 
Hey/MD	(aux,1) (root,1) (MD,1) (thank,1) (VB,1) (Hey,1) 
dose/NN	(NN,1) (dose,1) (root,1) (VBD,1) (dobj,1) (got,1) 
let/VB	(VBP,1) (root,1) (let,1) (VB,1) (dep,1) (sit,1) 
that/WDT	(JJ,1) (that,1) (WDT,1) (root,1) (brash,1) (nsubj,1) 
had/VBD	(VBN,1) (aux,1) (root,1) (insisted,1) (VBD,1) (had,1) 
went/VBD	(went,1) (root,1) (VBD,1) 
Does/RB	(RB,1) (advmod,1) (VBP,1) (root,1) (have,1) (Does,1) 
sorry/JJ	(JJ,1) (sorry,1) (root,1) 
the/DT	(NN,1) (the,1) (DT,1) (det,1) (woman,1) (root,1) 
everyone/NN	(NN,1) (went,1) (everyone,1) (root,1) (VBD,2) (nmod:to,1) (conj:and,1) (said,1) 
from/IN	(blew,1) (her,1) (IN,1) (root,1) (VBD,1) (nmod:to,1) (from,1) (case,1) (PRP,1) 
odd/JJ	(JJ,1) (ccomp,1) (VBP,1) (root,1) (know,1) (seems,1) (odd,1) (xcomp,1) (VBZ,1) 
bathroom/NN	(NN,1) (went,1) (root,1) (VBD,1) (nmod:to,1) (bathroom,1) 
had/VBN	(VBN,2) (root,1) (insisted,1) (had,1) (advcl,1) 
guys/NNS	(NNP,1) (NNS,1) (Neville,1) (made,1) (root,1) (guys,1) (VBD,1) (parataxis,1) (nsubj,1) 
administer/VB	(wanted,1) (VBP,1) (Hermione,1) (root,1) (administer,1) (VBD,1) (parataxis,1) (VB,1) (xcomp,1) 
Hermione/VB	(Hermione,1) (root,1) (VB,1) 
why/WRB	(sleep,1) (advmod,1) (dreamed,1) (WRB,1) (get,1) (root,1) (brooded,1) (VBD,2) (why,1) (advcl,2) (VB,2) (xcomp,1) 
please/VB	(VBP,1) (root,1) (let,1) (please,1) (VB,2) (dep,1) (sit,1) (discourse,1) 
Ginny/NNP	(NNP,1) (root,1) (Ginny,1) 
questions/NNS	(NNS,1) (thought,1) (asking,1) (root,1) (questions,1) (VBD,1) (VBG,1) (dobj,1) (xcomp,1) 
room/NN	(NN,1) (went,1) (nmod:into,1) (root,1) (VBD,1) (room,1) 
lay/VBD	(JJ,1) (NNP,1) (lay,1) (Hermione,1) (root,1) (VBD,1) (insane,1) (parataxis,2) 
She/PRP	(She,1) (smiled,1) (root,1) (VBD,1) (nsubj,1) (PRP,1) 
is/VBZ	(JJ,1) (cop,1) (sexy,1) (root,1) (is,1) (VBZ,1) 
brief/JJ	(NN,1) (brief,1) (JJ,1) (went,1) (root,1) (report,1) (VBD,2) (gave,1) (conj:and,1) (dobj,1) (amod,1) 
blew/VBD	(blew,1) (root,1) (VBD,1) 
once/RB	(RB,1) (advmod,1) (once,1) (knew,1) (root,1) (VBD,1) 
manner/NN	(NN,1) (VBN,1) (root,1) (nmod:to,1) (used,1) (manner,1) 
because/IN	(sleep,1) (IN,1) (get,1) (root,1) (brooded,1) (VBD,1) (advcl,1) (because,1) (VB,2) (xcomp,1) (mark,1) 
So/IN	(went,1) (IN,1) (root,1) (VBD,1) (So,1) (dep,1) 
treatment/NN	(NN,2) (treatment,1) (went,1) (nmod:of,1) (root,1) (report,1) (VBD,2) (gave,1) (conj:and,1) (dobj,1) 
