was/VBD	(root,1) (was,1) (VBD,1) 
fork/NN	(NN,1) (fork,1) (VBN,1) (permitted,1) (root,1) (VBD,1) (received,1) (parataxis,1) (VB,1) (dobj,1) (xcomp,1) (pocket,1) 
confused/JJ	(NN,1) (confused,1) (JJ,1) (root,1) (VBD,1) (led,1) (dobj,1) (amod,1) (way,1) 
eagerly/RB	(RB,1) (advmod,1) (eagerly,1) (replied,1) (root,1) (VBD,1) 
Stand/VB	(NN,1) (Stand,1) (VOICE,1) (ccomp,1) (csubj,1) (root,1) (VBD,1) (said,1) (VB,1) 
YET/NN	(NN,1) (VBN,1) (root,1) (YET,1) (dobj,1) (got,1) 
slates/NNS	(NNS,1) (root,1) (slates,1) (VB,1) (make,1) (nmod:on,1) 
tarts/VBZ	(ccomp,1) (tarts,1) (made,1) (root,1) (VBD,2) (stole,1) (dep,1) (VBZ,1) 
SLUGGARD/NNP	(NN,1) (NNP,1) (VOICE,1) (ccomp,1) (nmod:of,1) (root,1) (SLUGGARD,1) (VBD,1) (said,1) 
quietly/RB	(RB,1) (advmod,1) (root,1) (VBD,1) (said,1) (quietly,1) 
when/WRB	(advmod,1) (VBN,1) (answered,1) (VBP,1) (aux,1) (WRB,1) (root,1) (have,1) (when,1) 
deepest/JJS	(NN,2) (contempt,1) (JJS,1) (nmod:in,1) (tone,1) (nmod:of,1) (deepest,1) (root,1) (VBD,1) (said,1) (amod,1) 
undertone/NN	(NN,1) (nmod:in,1) (added,1) (root,1) (undertone,1) (VBD,1) 
written/VBN	(been,1) (VBN,2) (ccomp,1) (VBP,1) (root,1) (know,1) (advcl,1) (written,1) 
chimney/NN	(NN,1) (chimney,1) (root,1) (go,1) (VB,1) (dobj,1) 
_/RB	(JJ,1) (RB,1) (advmod,1) (sure,1) (root,1) (_,1) 
instantly/RB	(RB,1) (advmod,1) (instantly,1) (made,1) (root,1) (VBD,1) 
'T/PRP	(NN,1) (VOICE,1) (ccomp,1) (csubj,1) (root,1) (repeat,1) (VBD,1) (said,1) (VB,1) (dobj,1) ('T,1) (PRP,1) 
voice/NN	(voice,1) (NN,1) (root,1) (VBD,1) (said,1) (dobj,1) 
Mock/NNP	(Turtle,1) (NNP,2) (root,1) (compound,1) (Mock,1) 
much/JJ	(NN,1) (JJ,1) (VBN,1) (root,1) (YET,1) (dobj,1) (amod,1) (got,1) (much,1) 
silence/NN	(NN,1) (VBN,1) (root,1) (silence,1) (nmod:agent,1) (followed,1) 
said/VBD	(root,1) (VBD,1) (said,1) 
that/IN	(that,1) (began,1) (IN,1) (root,1) (VBD,1) (mark,1) 
no/DT	(NN,1) (DT,1) (no,1) (neg,1) (use,1) (root,1) ('s,1) (nsubj,1) (VBZ,1) 
less/JJR	(mistake,1) (NN,1) (JJR,1) (root,1) (parataxis,1) (less,1) 
end/NN	(NN,1) (nmod:at,1) (root,1) (sat,1) (VBD,2) (end,1) (conj:and,1) (said,1) 
anxious/JJ	(NN,1) (acl:relcl,1) (JJ,1) (anxious,1) (VBN,1) (made,1) (root,1) (remark,1) (xcomp,1) 
off/RP	(NN,1) (root,1) (VBD,1) (led,1) (dobj,1) (way,1) (off,1) (RP,1) (dep,1) 
sorrowful/JJ	(NN,1) (JJ,1) (nmod:in,1) (tone,1) (root,1) (VBD,1) (sorrowful,1) (said,1) (amod,1) 
time/NN	(NN,1) (root,1) (was,1) (VBD,1) (time,1) (nsubj,1) 
kept/VBD	(root,1) (VBD,1) (parataxis,1) (VB,1) (kept,1) (seem,1) 
angry/JJ	(JJ,1) (VBP,1) (root,1) (growl,1) (VBD,1) (advcl,2) (angry,1) (wag,1) 
wrote/VBD	(root,1) (wrote,1) (VBD,2) (conj:and,1) (said,1) 
began/VBD	(began,1) (root,1) (VBD,1) 
doubtfully/RB	(doubtfully,1) (RB,1) (advmod,1) (root,1) (VBD,1) (said,1) 
these/DT	(these,1) (DT,1) (NNS,1) (det,1) (are,1) (VBP,1) (root,1) (changes,1) (nsubj,1) 
IS/VBZ	(NN,1) (cop,1) (use,1) (root,1) (IS,1) ('s,1) (nsubj,1) (VBZ,2) 
SHE/NNP	(SHE,1) (NNP,1) (root,1) (VBD,1) (said,1) (nsubj,1) 
prison/NN	(NN,1) (ccomp,1) (root,1) (VBD,1) (said,1) (prison,1) 
suddenly/RB	(RB,1) (advmod,1) (root,1) (came,1) (VBD,1) (suddenly,1) 
anxiously/RB	(RB,1) (advmod,1) (root,1) (anxiously,1) (VBD,1) (said,1) 
queer/NN	(NN,1) (queer,1) (been,1) (VBN,1) (ccomp,1) (VBP,1) (root,1) (know,1) (dobj,1) 
after/IN	(waiting,1) (IN,1) (root,1) (VBG,1) (after,1) (mark,1) 
These/DT	(DT,1) (NNS,1) (det,1) (These,1) (nmod:with,1) (root,1) (was,1) (words,1) (VBD,1) 
adventures/NNS	(telling,1) (NNS,1) (began,1) (root,1) (VBD,1) (VBG,1) (dobj,1) (xcomp,1) (adventures,1) 
turning/VBG	(turning,1) (root,1) (VBD,1) (VBG,1) (said,1) (xcomp,1) 
now/RB	(RB,1) (advmod,1) (root,1) (now,1) (was,1) (VBD,1) 
sat/VBD	(root,1) (sat,1) (VBD,2) (conj:and,1) (said,1) 
led/VBD	(root,1) (VBD,1) (led,1) 
list/NN	(NN,1) (watched,1) (ccomp,1) (root,1) (fumbled,1) (VBD,3) (advcl,1) (said,1) (list,1) (nmod:over,1) 
large/JJ	(NN,1) (JJ,1) (nmod:in,1) (large,1) (root,1) (sat,1) (VBD,2) (conj:and,1) (said,1) (amod,1) (arm-chair,1) 
it/PRP	(VBN,1) (root,1) (nmod:to,1) (used,1) (it,1) (PRP,1) 
opened/VBD	(root,1) (VBD,1) (opened,1) 
ask/VB	(VBN,1) (root,1) (forgotten,1) (ask,1) (VB,1) (xcomp,1) 
Said/VBD	(JJ,1) (VBN,1) (answered,1) (root,1) (VBD,1) (enough,1) (conj:and,1) (Said,1) (dep,1) 
talking/VBG	(ccomp,1) (root,1) (VBD,1) (VBG,1) (talking,1) (nonsense,1) 
of/IN	(VBN,1) (IN,1) (root,1) (of,1) (nmod:to,1) (used,1) (it,1) (case,1) (PRP,1) 
'm/VBP	(VBN,1) (VBP,1) ('m,1) (root,1) (auxpass,1) (used,1) 
come/VBN	(VBN,1) (root,1) (VBD,1) (come,1) (advcl,1) (said,1) 
slipped/VBN	(NN,1) (acl:relcl,1) (mouse,1) (ccomp,1) (VBN,1) (made,1) (root,1) (VBD,1) (slipped,1) 
broken/VBN	(NN,1) (broken,1) (VBN,2) (root,1) (silence,1) (acl,1) (nmod:agent,1) (followed,1) 
them/PRP	(added,1) (root,1) (VBD,1) (them,1) (dobj,1) (PRP,1) 
round/NN	(NN,1) (round,1) (root,1) (go,1) (VB,1) (dobj,1) 
He/PRP	(does,1) (root,1) (nsubj,1) (He,1) (VBZ,1) (PRP,1) 
introduce/VB	(NN,1) (allow,1) (VBP,1) (introduce,1) (root,1) (friend,1) (VB,1) (dep,1) (xcomp,1) 
on/RP	(went,1) (compound:prt,1) (root,1) (VBD,1) (RP,1) (on,1) 
four/CD	(JJ,1) (feet,1) (CD,1) (high,1) (NNS,1) (nmod:npmod,1) (nummod,1) (four,1) (root,1) (came,1) (VBD,1) (advcl,1) 
she/PRP	(she,1) (root,1) (VBD,1) (said,1) (nsubj,1) (PRP,1) 
whole/JJ	(NN,1) (JJ,1) (swam,1) (root,1) (VBD,1) (led,1) (whole,1) (dobj,1) (amod,1) 
splashing/VBG	(splashing,1) (root,1) (VBD,1) (VBG,1) (heard,1) (xcomp,1) 
's/POS	(Come,1) (added,1) (VB,2) ('s,1) (NNP,1) (ccomp,2) (POS,1) (root,1) (VBD,1) (let,1) (nsubj,1) (hear,1) (case,1) 
deeply/RB	(acl:relcl,1) (RB,1) (Turtle,1) (NNP,1) (advmod,1) (sighed,1) (root,1) (VBD,1) (deeply,1) 
hand/NN	(NN,1) (root,1) (VBD,1) (dobj,1) (spread,1) (hand,1) 
dates/NNS	(NNS,1) (root,1) (wrote,1) (VBD,2) (dates,1) (conj:and,1) (said,1) (dobj,1) 
Beautiful/NNP	(Soup,1) (Turtle,1) (NNP,3) (Beautiful,1) (root,1) (VBG,1) (parataxis,1) (nsubj,1) (compound,1) (Waiting,1) 
shake/NN	(NN,1) (ccomp,1) (shake,1) (began,1) (root,1) (VBD,1) (VBG,1) (giving,1) (dobj,1) 
me/PRP	(wish,1) (ccomp,1) (VBP,1) (root,1) (me,1) (PRP,1) 
The/DT	(The,1) (DT,1) (Turtle,1) (NNP,1) (det,1) (root,1) 
who/WP	(NN,1) (ref,1) (jury,1) (root,1) (VBD,1) (nmod:to,1) (WP,1) (said,1) (who,1) 
Read/VB	(Read,1) (csubj,1) (root,1) (VBD,1) (said,1) (VB,1) 
sighed/VBD	(acl:relcl,1) (Turtle,1) (NNP,1) (sighed,1) (root,1) (VBD,1) 
minute/NN	(NN,1) (VBP,1) (advise,1) (leave,1) (root,1) (VBD,1) (said,1) (VB,1) (dobj,1) (dep,1) (xcomp,1) (minute,1) 
like/VB	(like,1) (root,1) (VB,1) 
TO/TO	(PERSONS,1) (root,1) (LEAVE,1) (TO,2) (VB,1) (xcomp,1) (mark,1) (VBZ,1) 
Come/NNP	(NN,1) (THAT,1) (NNP,2) (Come,1) (root,1) (nsubj,1) (thing,1) (compound,1) 
lobsters/NNS	(RB,1) (advmod,1) (NNS,1) (eagerly,1) (replied,1) (nmod:npmod,1) (root,1) (VBD,1) (lobsters,1) 
summer/NN	(NN,2) (hours,1) (NNS,1) (root,1) (VBD,1) (said,1) (nsubj,1) (day,1) (compound,1) (dep,1) (summer,1) 
giving/VBG	(ccomp,1) (began,1) (root,1) (VBD,1) (VBG,1) (giving,1) 
nor/CC	(mistake,1) (NN,1) (nor,1) (CC,1) (cc,1) (JJR,1) (more,1) (root,1) (parataxis,1) 
or/CC	(NN,1) (CC,1) (cc,1) (ccomp,1) (or,1) (thought,1) (walrus,1) (root,1) (VBD,1) 
high/JJ	(JJ,1) (high,1) (root,1) (came,1) (VBD,1) (advcl,1) 
half-past/VB	(half-past,1) (root,1) (keep,1) (VBD,1) (parataxis,1) (said,1) (VB,2) (xcomp,1) 
there/EX	(expl,1) (EX,1) (root,1) (there,1) ('s,1) (VBZ,1) 
Panther/NN	(NN,1) (VBN,1) (Panther,1) (permitted,1) (root,1) (VBD,1) (received,1) (parataxis,1) (VB,1) (nsubj,1) (xcomp,1) (pocket,1) 
feel/VB	(think,1) (been,1) (VBN,1) (ccomp,2) (VBP,1) (root,1) (know,1) (feel,1) (parataxis,1) (VB,2) 
about/IN	(VBN,1) (IN,1) (root,1) (about,1) (nmod:to,1) (used,1) (it,1) (case,1) (PRP,1) 
little/JJ	(JJ,1) (root,1) (xcomp,1) (knows,1) (VBZ,1) (little,1) 
this/DT	(DT,1) (root,1) (this,1) (VBD,1) (said,1) (dobj,1) 
always/RB	(JJ,1) (always,1) (RB,1) (advmod,1) (replied,1) (ready,1) (root,1) (VBD,1) (advcl,1) 
cried/NNP	(NNP,2) (cried,1) (Alice,1) (root,1) (VBD,1) (said,1) (compound,1) (dep,1) 
There/EX	(expl,1) (EX,1) (There,1) (root,1) ('s,1) (VBZ,1) 
English/NNP	(JJ,1) (parataxis,1) (VB,1) (opening,1) (English,1) (NNP,1) (ccomp,2) (root,1) (VBD,1) (VBG,1) (speak,1) (forgot,1) (dobj,1) (surprised,1) 
last/JJ	(NN,1) (JJ,1) (last,1) (root,1) (remark,1) (amod,1) 
door/NN	(NN,1) (door,1) (root,1) (VBD,1) (opened,1) (dobj,1) 
be/VB	(getting,1) (be,1) (aux,1) (root,1) (VBG,1) (VB,1) 
long/RB	(half-past,1) (RB,1) (advmod,1) (root,1) (keep,1) (VBD,1) (parataxis,1) (said,1) (VB,2) (xcomp,1) (long,1) 
piece/NN	(NN,1) (piece,1) (root,1) (VBD,1) (parataxis,1) (VB,1) (bit,1) (dobj,1) (seem,1) 
knife/NN	(NN,1) (knife,1) (VBN,1) (permitted,1) (root,1) (VBD,1) (received,1) (parataxis,1) (VB,1) (dobj,1) (xcomp,1) (pocket,1) 
what/WDT	(what,1) (WDT,1) (root,1) (VBD,1) (nsubj,1) (nonsense,1) 
'/POS	(POS,1) (root,1) (',1) (VBD,1) (said,1) (nsubj,1) 
perhaps/RB	(RB,1) (advmod,1) (perhaps,1) (root,1) (VBD,1) (said,1) 
THAN/IN	(nmod:than,1) (MORE,1) (NNP,1) (JJR,1) (HIGH,1) (PERSONS,1) (IN,1) (THAN,1) (root,1) (xcomp,1) (case,1) (VBZ,1) 
absurd/JJ	(mistake,1) (NN,1) (JJ,1) (ccomp,1) (absurd,1) (root,1) (felt,1) (VBD,1) (parataxis,1) 
their/PRP$	(NN,1) (VBN,1) (PRP$,1) (nmod:poss,1) (business,1) (root,1) (their,1) (dobj,1) (got,1) 
crying/VBG	(NN,1) (use,1) (crying,1) (root,1) (VBG,1) (acl,1) ('s,1) (nsubj,1) (VBZ,1) 
house/NN	(NN,1) (nmod:with,1) (root,1) (came,1) (VBD,1) (house,1) 
thing/NN	(NN,1) (root,1) (thing,1) 
nearer/JJ	(JJ,1) (VBP,1) (swam,1) (root,1) (nearer,1) (VBD,1) (conj:and,1) (heard,1) (xcomp,1) 
advance/NN	(RB,1) (NN,1) (advmod,1) (turtles,1) (NNS,1) (eagerly,1) (replied,1) (nmod:npmod,1) (root,1) (VBD,1) (dep,1) (advance,1) 
This/DT	(DT,1) (root,1) (This,1) (VB,1) (nsubj,1) (seem,1) 
able/JJ	(JJ,2) (sure,1) (ccomp,1) (root,1) (able,1) 
under/IN	(NN,1) (nmod:under,1) (IN,1) (root,1) (VBD,1) (window,1) (under,1) (heard,1) (case,1) 
Come/UH	(UH,1) (Come,1) (root,1) ('s,1) (VBZ,1) (discourse,1) 
dear/UH	(UH,1) (root,1) (VBD,1) (dear,1) (nonsense,1) (discourse,1) 
Because/IN	(Because,1) (IN,1) (root,1) (mark,1) (knows,1) (VBZ,1) 
yet/RB	(RB,1) (advmod,1) (found,1) (VBN,1) (ccomp,1) (root,1) (VBD,1) (yet,1) (said,1) 
nine/CD	(Turtle,1) (NNP,1) (nine,1) (CD,1) (root,1) (dep,1) 
suppose/VBP	(ccomp,1) (VBP,1) (root,1) (VBD,1) (said,1) (suppose,1) 
chrysalis/NNS	(NNS,1) (VBN,1) (answered,1) (nmod:into,1) (VBP,1) (aux,1) (root,1) (have,1) (chrysalis,1) (turn,1) (VB,1) (xcomp,1) 
largest/JJS	(NN,1) (largest,1) (JJS,1) (root,1) (was,1) (VBD,1) (telescope,1) (nsubj,1) (amod,1) 
interrupted/VBN	(NN,1) (VBN,1) (use,1) (root,1) (parataxis,1) (interrupted,1) ('s,1) (nsubj,1) (VBZ,1) 
sobs/NNS	(acl:relcl,1) (Turtle,1) (NNP,1) (NNS,1) (nmod:with,1) (root,1) (sobs,1) (VBD,1) (choked,1) 
in/RP	(went,1) (compound:prt,1) (in,1) (root,1) (VBD,1) (RP,1) 
HIGH/NNP	(nmod:than,1) (MORE,1) (NNP,1) (JJR,1) (HIGH,1) (PERSONS,1) (root,1) (xcomp,1) (VBZ,1) 
used/VBN	(VBN,1) (root,1) (used,1) 
swam/NN	(NN,1) (swam,1) (root,1) (VBD,1) (led,1) (dobj,1) 
sleep/NN	(NN,2) (sleep,1) (nmod:of,1) (root,1) (wink,1) (VBD,1) (had,1) (dobj,1) 
growl/NN	(NN,1) (nmod:in,1) (root,1) (VBD,1) (growl,1) (said,1) 
And/CC	(CC,1) (cc,1) (added,1) (And,1) (root,1) (VBD,1) 
sleepy/JJ	(voice,1) (NN,1) (JJ,1) (root,1) (VBD,1) (said,1) (dobj,1) (sleepy,1) (amod,1) 
if/IN	(NN,1) (explain,1) (IN,1) (use,1) (root,1) (advcl,1) ('s,1) (nsubj,1) (VB,1) (if,1) (mark,1) (VBZ,1) 
turtles/NNS	(RB,1) (advmod,1) (turtles,1) (NNS,1) (eagerly,1) (replied,1) (nmod:npmod,1) (root,1) (VBD,1) 
telescope/NN	(NN,1) (root,1) (was,1) (VBD,1) (telescope,1) (nsubj,1) 
follows/VBZ	(read,1) (made,1) (root,1) (follows,1) (VBD,2) (advcl,1) (dep,1) (VBZ,1) 
How/WRB	(JJ,1) (How,1) (advmod,1) (are,1) (VBP,1) (WRB,1) (root,1) (puzzling,1) (dep,1) 
sternly/RB	(RB,1) (advmod,1) (root,1) (VBD,1) (said,1) (sternly,1) 
fact/NN	(NN,2) (fact,1) (nmod:of,1) (made,1) (root,1) (VBD,1) (memorandum,1) (dobj,1) 
Ten/CD	(CD,1) (hours,1) (NNS,1) (nummod,1) (root,1) (VBD,1) (said,1) (nsubj,1) (Ten,1) 
wag/VBD	(VBP,1) (root,1) (growl,1) (VBD,1) (advcl,1) (wag,1) 
Come/VB	(ccomp,1) (Come,1) (added,1) (root,1) (VBD,1) (VB,1) 
Just/RB	(RB,1) (advmod,1) (root,1) (VBD,1) (heard,1) (Just,1) 
bread-and-butter/JJ	(NN,1) (JJ,1) (teacup,1) (nmod:instead_of,1) (nmod:of,1) (root,1) (VBD,1) (parataxis,1) (VB,1) (bit,1) (bread-and-butter,1) (seem,1) 
unless/IN	(been,1) (VBN,2) (ccomp,1) (VBP,1) (unless,1) (IN,1) (root,1) (know,1) (advcl,1) (written,1) (mark,1) 
other/JJ	(JJ,1) (other,1) (root,1) (VBD,1) (nmod:to,1) (parataxis,1) (VBG,1) (VB,1) (kept,1) (xcomp,1) (seem,1) (shifting,1) 
that/DT	(JJ,1) (DT,1) (that,1) (VBN,1) (answered,1) (root,1) (enough,1) (conj:and,1) (nsubj,1) 
shillings/NNS	(shillings,1) (NNS,1) (root,1) (VBD,2) (reduced,1) (nmod:to,1) (conj:and,1) (said,1) 
yesterday/NN	(yesterday,1) (NN,1) (NNS,1) (went,1) (root,1) (things,1) (VBD,1) (nsubj,1) (compound,1) 
those/DT	(DT,1) (ccomp,1) (tarts,1) (made,1) (root,1) (VBD,2) (nsubj,1) (stole,1) (dep,1) (those,1) (VBZ,1) 
over/IN	(NN,1) (over,1) (IN,1) (list,1) (watched,1) (ccomp,1) (root,1) (fumbled,1) (VBD,3) (advcl,1) (said,1) (case,1) (nmod:over,1) 
lips/NNS	(conj:but,1) (lips,1) (NNS,1) (root,1) (was,1) (VBD,2) (nmod:to,1) (put,1) 
even/RB	(RB,1) (advmod,1) (even,1) (root,1) (VB,1) (make,1) 
Caterpillar/NNP	(NNP,1) (root,1) (VBD,1) (Caterpillar,1) (said,1) (dobj,1) 
Knave/NN	(All,1) (DT,1) (NN,1) (NNS,1) (tarts,1) (made,1) (root,1) (VBD,1) (Knave,1) (dobj,1) (appos,1) (dep,1) 
heard/VBD	(root,1) (VBD,1) (heard,1) 
telling/VBG	(telling,1) (began,1) (root,1) (VBD,1) (VBG,1) (xcomp,1) 
only/RB	(RB,1) (advmod,1) (does,1) (root,1) (only,1) (VBZ,1) 
felt/VBD	(mistake,1) (NN,1) (root,1) (felt,1) (VBD,1) (parataxis,1) 
PERSONS/VBZ	(PERSONS,1) (root,1) (VBZ,1) 
put/VBD	(conj:but,1) (root,1) (was,1) (VBD,2) (put,1) 
Duchess/NNPS	(root,1) (NNPS,1) (VBD,1) (said,1) (nsubj,1) (Duchess,1) 
your/PRP$	(NN,1) (PRP$,1) (nmod:poss,1) (Speak,1) (began,1) (root,1) (VBD,1) (nmod:to,1) (VBG,1) (your,1) (boy,1) (xcomp,1) 
speak/VB	(JJ,1) (ccomp,2) (root,1) (VBD,1) (VBG,1) (parataxis,1) (speak,1) (forgot,1) (VB,1) (opening,1) (surprised,1) 
felt/VBN	(VBN,1) (root,1) (felt,1) (VBD,1) (advcl,1) (said,1) 
VOICE/NN	(NN,1) (VOICE,1) (ccomp,1) (root,1) (VBD,1) (said,1) 
All/DT	(All,1) (DT,1) (NNS,1) (tarts,1) (made,1) (root,1) (VBD,1) (dobj,1) (appos,1) 
ME/NNP	(NNP,1) (NNS,1) (nmod:with,1) (root,1) (was,1) (words,1) (ME,1) (VBD,1) (dep,1) 
first/RB	(RB,2) (neg,1) (Not,1) (root,1) (VBD,1) (advcl,1) (said,1) (first,1) 
curious/JJ	(NN,1) (JJ,1) (VBN,1) (curious,1) (dream,1) (root,1) (had,1) (dobj,1) (amod,1) 
bit/VBD	(root,1) (VBD,1) (parataxis,1) (VB,1) (bit,1) (seem,1) 
take/VB	(take,1) (root,1) (go,1) (conj:and,1) (VB,2) 
Oh/UH	(VBN,1) (UH,1) (root,1) (Oh,1) (had,1) (discourse,1) 
behind/IN	(nmod:behind,1) (behind,1) (her,1) (IN,1) (root,1) (VBD,1) (said,1) (case,1) (PRP,1) 
IT/PRP	(root,1) (DOES,1) (IT,1) (nsubj,1) (VBZ,1) (PRP,1) 
all/PDT	(all,1) (PDT,1) (det:predet,1) (NNS,1) (are,1) (VBP,1) (root,1) (changes,1) (nsubj,1) 
my/PRP$	(NN,1) (cross-examine,1) (ccomp,1) (PRP$,1) (nmod:poss,1) (added,1) (root,1) (VBD,1) (VB,1) (dear,1) (nsubj,1) (my,1) 
King/NNP	(NNP,1) (King,1) (root,1) (VBD,1) (said,1) (nsubj,1) 
executioner/NN	(NN,1) (root,1) (executioner,1) (VBD,1) (nmod:to,1) (said,1) 
blasts/NNS	(blasts,1) (blew,1) (NNS,1) (made,1) (root,1) (VBD,2) (dobj,1) (dep,1) 
confusion/NN	(NN,1) (nmod:in,1) (root,1) (VBD,1) (parataxis,1) (VB,1) (bit,1) (confusion,1) (seem,1) 
teacup/NN	(NN,1) (teacup,1) (nmod:of,1) (root,1) (VBD,1) (parataxis,1) (VB,1) (bit,1) (seem,1) 
swam/VBP	(VBP,1) (swam,1) (root,1) (VBD,1) (conj:and,1) (heard,1) 
looking/VBG	(root,1) (VBD,1) (looking,1) (VBG,1) (parataxis,1) (said,1) 
wo/MD	(NNP,1) (Alice,1) (root,1) (MD,1) (wo,1) (VBD,1) (said,1) (dep,2) 
uneasily/RB	(RB,1) (advmod,1) (uneasily,1) (root,1) (VBD,1) (looking,1) (VBG,1) (parataxis,1) (said,1) 
Hjckrrh/NNP	(NN,2) (broken,1) (VBN,2) (nmod:by,1) (nmod:of,1) (exclamation,1) (acl,1) (followed,1) (NNP,1) (root,1) (Hjckrrh,1) (silence,1) (nmod:agent,1) 
know/VB	(ccomp,1) (root,1) (know,1) (VB,2) (make,1) 
pence/NNS	(pence,1) (NNS,1) (root,1) (VBD,2) (reduced,1) (nmod:to,1) (conj:and,1) (said,1) 
feeling/VBG	(watched,1) (ccomp,1) (root,1) (fumbled,1) (VBD,3) (advcl,1) (VBG,1) (feeling,1) (said,1) (xcomp,1) 
explain/VB	(NN,1) (explain,1) (use,1) (root,1) (advcl,1) ('s,1) (nsubj,1) (VB,1) (VBZ,1) 
all/RB	(all,1) (RB,1) (advmod,1) (VBN,2) (permitted,1) (root,1) (finished,1) (advcl,1) 
annoy/VB	(annoy,1) (does,1) (root,1) (VB,1) (xcomp,1) (VBZ,1) 
remark/NN	(NN,1) (root,1) (remark,1) 
sing/VB	(acl:relcl,1) (Turtle,1) (NNP,1) (root,1) (VBD,1) (sing,1) (VB,1) (choked,1) (xcomp,1) 
ear/NN	(NN,1) (holding,1) (VBN,1) (root,1) (taken,1) (ear,1) (VBD,1) (nmod:to,1) (parataxis,1) (VBG,1) (conj:and,1) (said,1) 
Alice/NNP	(NNP,1) (Alice,1) (root,1) (VBD,1) (said,1) (dep,1) 
'd/VBD	(VBN,1) (aux,1) (root,1) (forgotten,1) (VBD,1) ('d,1) 
leave/VB	(VBP,1) (advise,1) (leave,1) (root,1) (VBD,1) (said,1) (VB,1) (dep,1) (xcomp,1) 
If/IN	(IN,1) (root,1) (go,1) (VBD,1) (minded,1) (advcl,1) (VB,1) (If,1) (mark,1) 
than/IN	(IN,1) (does,1) (root,1) (than,1) (mark,1) (VBZ,1) 
join/VB	(MD,1) (root,1) (Would,1) (join,1) (VB,1) (dep,1) 
one/CD	(CD,1) (root,1) (one,1) (VB,1) (dobj,1) (write,1) 
turn/VB	(VBN,1) (answered,1) (VBP,1) (aux,1) (root,1) (have,1) (turn,1) (VB,1) (xcomp,1) 
Dodo/NNP	(NNP,1) (Dodo,1) (root,1) (VBD,1) (said,1) (dobj,1) 
hours/NNS	(hours,1) (NNS,1) (root,1) (VBD,1) (said,1) (nsubj,1) 
hoarse/JJ	(NN,1) (JJ,1) (nmod:in,1) (root,1) (hoarse,1) (VBD,1) (growl,1) (said,1) (amod,1) 
dream/NN	(NN,1) (VBN,1) (dream,1) (root,1) (had,1) (dobj,1) 
grown/VBN	(conj:but,1) (VBN,1) (root,1) (grown,1) (VB,1) (write,1) 
tell/VB	(NN,1) (VBN,1) (root,1) (tell,1) (forgotten,1) (ask,1) (neighbour,1) (acl,1) (VB,2) (dobj,1) (xcomp,1) 
changes/NNS	(NNS,1) (are,1) (VBP,1) (root,1) (changes,1) (nsubj,1) 
till/IN	(till,1) (waiting,1) (IN,1) (fancied,1) (root,1) (VBD,1) (VBG,1) (advcl,1) (mark,1) 
HERE/NN	(NN,2) (HERE,1) (grow,1) (root,1) (acl,1) ('s,1) (nsubj,1) (VB,1) (dobj,1) (room,1) (VBZ,1) 
how/WRB	(how,1) (See,1) (WRB,1) (root,1) (VB,1) (dobj,1) 
panting/VBG	(acl:relcl,1) (ccomp,1) (root,1) (crowded,1) (VBD,1) (VBG,1) (they,1) (PRP,1) (panting,1) 
keep/VB	(root,1) (keep,1) (VBD,1) (parataxis,1) (said,1) (VB,1) 
nobody/NN	(JJ,1) (NN,1) (went,1) (usual,1) (root,1) (VBD,1) (advcl,1) (nobody,1) (nsubj,1) 
read/VBD	(read,1) (made,1) (root,1) (VBD,2) (dep,1) 
air/NN	(NN,1) (nmod:in,1) (made,1) (root,1) (VBD,1) (air,1) 
capering/VBG	(cried,1) (VBN,1) (root,1) (capering,1) (VBG,1) (advcl,1) 
away/RB	(RB,1) (take,1) (advmod,1) (away,1) (root,1) (go,1) (conj:and,1) (VB,2) 
back/RP	(VBN,1) (compound:prt,1) (root,1) (VBD,1) (back,1) (come,1) (advcl,1) (said,1) (RP,1) 
write/VB	(root,1) (VB,1) (write,1) 
window/NN	(NN,1) (nmod:under,1) (root,1) (VBD,1) (window,1) (heard,1) 
YOUR/JJ	(JJ,1) (telling,1) (NNS,1) (began,1) (root,1) (VBD,1) (VBG,1) (YOUR,1) (dobj,1) (amod,1) (xcomp,1) (adventures,1) 
line/NN	(NN,2) (nmod:at,1) (nmod:of,1) (line,1) (root,1) (sat,1) (VBD,2) (end,1) (conj:and,1) (said,1) 
cross-examine/VB	(cross-examine,1) (ccomp,1) (added,1) (root,1) (VBD,1) (VB,1) 
sneezes/VBZ	(began,1) (root,1) (beat,1) (VBD,1) (advcl,1) (VB,1) (sneezes,1) (xcomp,1) (VBZ,1) 
's/VBZ	(root,1) ('s,1) (VBZ,1) 
Hatter/NN	(NN,1) (root,1) (VBD,1) (said,1) (Hatter,1) (dobj,1) 
reduced/VBD	(root,1) (VBD,2) (reduced,1) (conj:and,1) (said,1) 
such/PDT	(NN,1) (DT,1) (a,1) (such,1) (PDT,1) (det:predet,1) (det,1) (root,1) (thing,1) 
been/VBN	(been,1) (VBN,1) (root,1) 
bit/NN	(NN,2) (root,1) (bit,1) (thing,1) (dep,1) 
did/VBD	(aux,1) (root,1) (VBD,1) (VB,1) (did,1) (seem,1) 
upon/IN	(NN,1) (IN,1) (root,1) (came,1) (nmod:upon,1) (VBD,1) (place,1) (upon,1) (case,1) 
DRINK/NNP	(NNP,2) (NNS,1) (nmod:with,1) (root,1) (was,1) (words,1) (ME,1) (VBD,1) (DRINK,1) (compound,1) (dep,1) 
