was/VBD	(root,1) (was,1) (VBD,1) 
witness/NN	(NN,1) (witness,1) (cross-examine,1) (ccomp,1) (added,1) (root,1) (VBD,1) (VB,1) (dobj,1) 
you/PRP	(root,1) (go,1) (nsubj:xsubj,1) (VB,1) (you,1) (PRP,1) 
airs/NNS	(JJ,1) (give,1) (NNS,1) (VBN,1) (answered,1) (airs,1) (root,1) (enough,1) (conj:and,1) (VB,1) (dobj,1) (dep,1) 
friend/NN	(NN,1) (root,1) (friend,1) 
fetch/VBP	(VBP,1) (root,1) (fetch,1) (VBD,1) (said,1) (dep,1) 
MILE/NNP	(nmod:than,1) (MORE,1) (NNP,2) (MILE,1) (JJR,1) (HIGH,1) (PERSONS,1) (root,1) (compound,1) (xcomp,1) (VBZ,1) 
THE/DT	(NN,1) (THE,1) (DT,1) (VOICE,1) (det,1) (ccomp,1) (root,1) (VBD,1) (said,1) 
hippopotamus/NNS	(hippopotamus,1) (NNS,1) (ccomp,1) (thought,1) (root,1) (VBD,1) 
saw/VBD	(telling,1) (ccomp,1) (began,1) (root,1) (saw,1) (VBD,2) (VBG,1) (xcomp,1) 
Not/RB	(RB,1) (neg,1) (Not,1) (root,1) (VBD,1) (said,1) 
ordered/VBN	(ordered,1) (VBN,1) (root,1) 
stupid/JJ	(JJ,1) (spell,1) (stupid,1) (ccomp,2) (root,1) (know,1) (VB,3) (make,1) (xcomp,1) 
THAT/NNP	(NN,1) (THAT,1) (NNP,1) (root,1) (nsubj,1) (thing,1) 
another/DT	(NN,1) (DT,1) (det,1) (made,1) (root,1) (another,1) (VBD,1) (snatch,1) (dobj,1) 
looked/VBD	(NN,1) (acl:relcl,1) (jury,1) (looked,1) (root,1) (VBD,2) (nmod:to,1) (said,1) 
for/IN	(VBN,1) (IN,1) (root,1) (for,1) (got,1) (mark,1) 
growl/VBP	(VBP,1) (root,1) (growl,1) 
foot/NN	(NN,1) (nmod:from,1) (root,1) (VBD,1) (parataxis,1) (VBG,1) (VB,1) (kept,1) (xcomp,1) (foot,1) (seem,1) (shifting,1) 
father/NN	(JJ,1) (NN,1) (VBN,1) (answered,1) (root,1) (father,1) (VBD,1) (enough,1) (conj:and,1) (dobj,1) (Said,1) (dep,1) 
carry/VB	(mistake,1) (NN,1) (JJ,1) (ccomp,1) (absurd,1) (root,1) (felt,1) (VBD,1) (parataxis,1) (advcl,1) (carry,1) (VB,1) 
saucer/NN	(remember,1) (NN,1) (ccomp,1) (saucer,1) (VBP,1) (root,1) (hope,1) (VB,1) (dobj,1) 
waiting/VBG	(waiting,1) (root,1) (VBG,1) 
nursing/VBG	(ccomp,1) (began,1) (root,1) (VBD,1) (nursing,1) (VBG,1) 
way/NN	(NN,1) (root,1) (VBD,1) (led,1) (dobj,1) (way,1) 
contempt/NN	(NN,2) (contempt,1) (nmod:in,1) (tone,1) (nmod:of,1) (root,1) (VBD,1) (said,1) 
memorandum/NN	(NN,1) (made,1) (root,1) (VBD,1) (memorandum,1) (dobj,1) 
round/VBP	(round,1) (VBP,1) (root,1) (VBD,1) (conj:and,1) (said,1) 
sort/NN	(NN,1) (ccomp,1) (singing,1) (began,1) (root,1) (VBD,1) (VBG,1) (sort,1) (dobj,1) 
tone/NN	(NN,1) (nmod:in,1) (tone,1) (root,1) (VBD,1) (said,1) 
go/VBP	(NN,1) (explain,1) (VBP,1) (use,1) (root,1) (go,1) (advcl,2) ('s,1) (nsubj,1) (VB,1) (VBZ,1) 
they/PRP	(root,1) (they,1) (PRP,1) 
some/DT	(DT,1) (some,1) (NNS,1) (det,1) (tarts,1) (made,1) (root,1) (VBD,1) (dobj,1) 
out/RP	(compound:prt,1) (made,1) (root,1) (VBD,1) (RP,1) (out,1) 
small/JJ	(small,1) (JJ,1) (how,1) (See,1) (WRB,1) (root,1) (VB,1) (dobj,1) (dep,1) 
up/RP	(compound:prt,1) (added,1) (root,1) (VBD,1) (up,1) (RP,1) 
'S/VBZ	(NN,1) (cop,1) (root,1) ('S,1) (thing,1) (VBZ,1) 
should/MD	(think,1) (been,1) (VBN,1) (ccomp,1) (VBP,1) (aux,1) (root,1) (MD,1) (should,1) (know,1) (parataxis,1) (VB,1) 
soon/RB	(RB,1) (advmod,1) (made,1) (root,1) (VBD,1) (soon,1) 
will/MD	(NN,1) (deal,1) (will,1) (aux,1) (root,1) (MD,1) (come,1) (acl,1) ('s,1) (nsubj,1) (VB,1) (VBZ,1) 
sharply/RB	(RB,1) (advmod,1) (sharply,1) (root,1) (VBD,1) (said,1) 
scroll/NN	(NN,1) (made,1) (root,1) (scroll,1) (VBD,2) (unrolled,1) (dobj,1) (dep,1) 
down/RB	(RB,1) (advmod,1) (root,1) (VBD,1) (said,1) (down,1) 
as/RB	(RB,1) (as,1) (VBN,1) (root,1) (VBD,1) (come,1) (advcl,1) (said,1) (mark,1) 
What/WP	(NN,1) (use,1) (root,1) (WP,1) ('s,1) (nsubj,2) (What,1) (VBZ,1) 
same/JJ	(NN,1) (JJ,1) (same,1) (root,1) (amod,1) (thing,1) 
her/PRP	(nmod:behind,1) (her,1) (root,1) (VBD,1) (said,1) (PRP,1) 
prettier/NNS	(NNS,1) (root,1) (VB,1) (dobj,1) (make,1) (prettier,1) 
n't/RB	(RB,1) (neg,1) (VBN,1) (root,1) (n't,1) (got,1) 
Turtle/NNP	(Turtle,1) (NNP,1) (root,1) 
holding/VBG	(holding,1) (VBN,1) (root,1) (taken,1) (VBD,1) (parataxis,1) (VBG,1) (conj:and,1) (said,1) 
While/IN	(VBN,1) (permitted,1) (IN,1) (root,1) (VBD,1) (received,1) (parataxis,1) (While,1) (VB,1) (xcomp,1) (mark,1) (pocket,1) 
teases/VBZ	(ccomp,1) (root,1) (teases,1) (knows,1) (VBZ,2) 
means/VBZ	(means,1) (root,1) (VBD,1) (parataxis,1) (said,1) (VBZ,1) 
round/VBG	(acl:relcl,1) (ccomp,1) (round,1) (root,1) (crowded,1) (VBD,1) (VBG,1) (they,1) (PRP,1) 
won/VBN	(acl:relcl,1) (ccomp,2) (VBN,1) (asking,1) (root,1) (won,1) (crowded,1) (VBD,1) (VBG,1) (they,1) (PRP,1) 
near/IN	(getting,1) (NN,1) (IN,1) (root,1) (centre,1) (VBG,1) (nmod:near,1) (near,1) (case,1) 
've/VBP	(VBN,1) (VBP,1) (aux,1) ('ve,1) (root,1) (had,1) 
It/PRP	(been,1) (VBN,1) (root,1) (It,1) (nsubj,1) (PRP,1) 
crowded/VBN	(NN,1) (VBN,1) (round,1) (VBP,1) (root,1) (VBD,1) (crowded,1) (conj:and,1) (said,1) (nsubj,1) (amod,1) (party,1) 
They/PRP	(waiting,1) (root,1) (VBG,1) (nsubj,1) (They,1) (PRP,1) 
least/JJS	(advmod,1) (JJS,1) (at,1) (IN,1) (root,1) (least,1) (mwe,1) ('s,1) (VBZ,1) 
further/RBR	(mistake,1) (NN,1) (JJ,1) (RBR,1) (felt,1) (parataxis,1) (VB,1) (advmod,1) (ccomp,1) (absurd,1) (root,1) (VBD,1) (advcl,1) (carry,1) (further,1) 
crowded/VBD	(acl:relcl,1) (root,1) (crowded,1) (VBD,1) (they,1) (PRP,1) 
every/DT	(RB,1) (DT,1) (advmod,1) (root,1) (now,1) (was,1) (VBD,1) (every,1) (dep,1) 
snatch/NN	(NN,1) (made,1) (root,1) (VBD,1) (snatch,1) (dobj,1) 
shaking/VBG	(VBN,1) (root,1) (taken,1) (VBD,1) (parataxis,1) (VBG,1) (conj:and,1) (said,1) (shaking,1) 
MORE/JJR	(MORE,1) (JJR,1) (PERSONS,1) (root,1) (xcomp,1) (VBZ,1) 
says/VBZ	(root,1) (says,1) (VBZ,1) 
that/RB	(RB,2) (advmod,2) (that,1) (root,1) (VBD,1) (said,1) (down,1) 
ate/VBD	(ate,1) (root,1) (VBD,1) 
a/DT	(NN,1) (DT,1) (a,1) (det,1) (root,1) (thing,1) 
